ok,msg,created_at,ids,mid,can_edit,raw_text,source,user_description,user_follow_count,user_gender,user_id,user_mbrank,user_mbtype,user_profile_url,user_profile_image_url,user_screen_name,user_statuses_count,user_urank,user_verified,user_veridied_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,17分钟前,4386656372996121,4386656372996121,False,桃源洞中觅芳草，莲花台上饮美酒。 恭君花前酩酊醉，蝴蝶牡丹几时悠。,小米手机,情境生妙语，自然成名句。诗歌惊鬼神，词赋动天地。,546,m,5940596894,1,2,https://m.weibo.cn/u/5940596894?uid=5940596894,https://tvax2.sinaimg.cn/crop.0.0.996.996.180/006u28CWly8fwqtdayd5xj30ro0rojt3.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,2小时前,4386626292009083,4386626292009083,False,转发微博,小米8 SE,阳光洒肩头，仿佛自由人！,523,m,2953020417,0,0,https://m.weibo.cn/u/2953020417?uid=2953020417,https://tva3.sinaimg.cn/crop.0.0.1002.1002.180/b0038401jw8faafrquemej20ru0rudia.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,5小时前,4386580325802755,4386580325802755,False,我也想娶你，可惜我不优秀,微博 weibo.com,,797,f,5780235886,0,0,https://m.weibo.cn/u/5780235886?uid=5780235886,https://tva3.sinaimg.cn/crop.3.0.195.195.180/006jbhp4jw1eynlqvfunfj305m05ft9a.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,8小时前,4386529801671214,4386529801671214,False,日本男人好啊,微博 weibo.com,,683,f,5780569107,0,0,https://m.weibo.cn/u/5780569107?uid=5780569107,https://tva1.sinaimg.cn/crop.0.0.100.100.180/006jcG5Bjw1eyngmpkvpsj302s02sa9w.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,11小时前,4386493680315056,4386493680315056,False,转发微博,iPhone 6,🍁,70,m,5426299945,1,11,https://m.weibo.cn/u/5426299945?uid=5426299945,https://tvax4.sinaimg.cn/crop.0.0.512.512.180/005VecuRly8g1b8llatuxj30e80e8myc.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,13小时前,4386457193947304,4386457193947304,False,王子不要着急，慢慢来[笑cry]//@片寄凉太RyotaKatayose:とても尊敬する先輩のAKIRAさんのご結婚に僕も幸せです🙏✨✨おめでとうございます🎈   //@EXILE-AKIRA:我会让妳幸福一辈子,前置双摄vivo X9s,,1,f,6485946313,0,0,https://m.weibo.cn/u/6485946313?uid=6485946313,https://tvax1.sinaimg.cn/crop.0.0.539.539.180/0074WmVjly8fof3iputvfj30ez0f0mxp.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,15小时前,4386421869559364,4386421869559364,False,[心],,离苦得乐.http://tigress520.taobao.com,1229,f,2036666245,6,11,https://m.weibo.cn/u/2036666245?uid=2036666245,https://tvax2.sinaimg.cn/crop.0.0.1242.1242.180/79650f85ly8fs9lcvkhmej20yi0yi0w5.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,17小时前,4386398423028999,4386398423028999,False,？//@柳飘飘果然飘了:这接二连三的？？？？,HUAWEI Mate 20,物尽其用，认真生活,134,f,5640342275,1,2,https://m.weibo.cn/u/5640342275?uid=5640342275,https://tvax4.sinaimg.cn/crop.0.0.996.996.180/0069IiGvly8g4bg0apqgyj30ro0rodjf.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,20小时前,4386357747449682,4386357747449682,False,每个人都有自己的幸福！,微博 weibo.com,,1211,f,3969262665,0,0,https://m.weibo.cn/u/3969262665?uid=3969262665,https://tva2.sinaimg.cn/crop.4.2.195.195.180/ec962449gw1ek2r9srycej205k05kjrk.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,21小时前,4386330345515636,4386330345515636,False,本来就不喜欢林志玲，现在还嫁给日本人，希望他被封杀,微博 weibo.com,,1261,f,3987309106,0,0,https://m.weibo.cn/u/3987309106?uid=3987309106,https://tva1.sinaimg.cn/crop.0.100.600.600.180/eda98232jw1eocs7ymkljj20go0m8di7.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
