保姆家政,其它,20-99人,2019-09-10 14:12:00,学历不限,社区/居民/家政服务,1-3年,天津市天冠麟工贸有限公司,4K-6K,天津-滨海新区,包吃
保姆,民营,20-99人,2019-09-18 16:46:38,学历不限,社区/居民/家政服务,不限,深圳新金领教育咨询有限公司,8K-10K,钦州,包吃包住加班补助员工旅游节日福利
住家保姆,学校/下级学院,20-99人,2019-09-06 09:33:54,学历不限,社区/居民/家政服务,不限,南京慧学职业培训学校,8K-10K,南京,
5千住家保姆包吃住,民营,100-499人,2019-09-19 10:14:22,学历不限,社区/居民/家政服务,不限,成都市若爱家庭服务有限公司,4K-6K,成都,年底双薪加班补助包吃包住带薪年假
外企急招保姆、保洁员,其它,100-499人,2019-09-11 16:39:53,学历不限,社区/居民/家政服务,不限,郑州沙鸥文化传媒有限公司,30K-50K,松原-宁江区,带薪年假包吃包住
家政保姆,民营,20-99人,2019-09-12 16:52:30,学历不限,社区/居民/家政服务,5-10年,广州草本智胜生物科技有限公司,4K-6K,广州,
家庭保姆,民营,100-499人,2019-09-14 17:32:15,中专,社区/居民/家政服务,不限,山西宝力房地产开发有限公司,3K-4K,太原,包吃包住
高薪急招保姆、住家保姆,民营,100-499人,2019-09-17 10:20:02,学历不限,其他,不限,深圳市好满意家政服务有限公司,6K-8K,深圳-龙华新区,
急住家保姆5500工资包吃住/有无经验都可,民营,100-499人,2019-09-17 18:08:48,学历不限,社区/居民/家政服务,不限,深圳市家贝贝母婴护理培训有限公司,6K-8K,南昌,五险一金包吃定期体检加班补助
9千急聘带孩子住家保姆,民营,不限,2019-09-16 20:41:16,学历不限,社区/居民/家政服务,不限,深圳市深爱天使家政服务有限责任公司,8K-10K,深圳,包吃包住餐补加班补助弹性工作
做保姆不如做月嫂,民营,100-499人,2019-09-11 14:43:54,学历不限,社区/居民/家政服务,不限,成都市若爱家庭服务有限公司,6K-8K,成都,年底双薪加班补助包吃包住交通补助
8千招育婴保姆接受新手,其它,不限,2019-09-11 14:38:36,学历不限,社区/居民/家政服务,不限,东莞市康乃馨家庭服务有限公司,6K-8K,东莞,包吃包住年底双薪
七零八零九零做保姆月过万,其它,不限,2019-09-11 14:39:41,学历不限,社区/居民/家政服务,不限,东莞市康乃馨家庭服务有限公司,10K-15K,东莞,包吃包住年底双薪
