职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
android开发工程师,民营,20-99人,2019-09-20 12:37:01,大专,软件/互联网开发/系统集成,1-3年,青岛百辐网络科技有限公司,9K-14K,青岛,五险一金周末双休年底双薪绩效奖金带薪年假
Android开发工程师,民营,20-99人,2019-09-20 10:23:26,本科,软件/互联网开发/系统集成,3-5年,北京好乐互娱文化传媒有限公司,10K-15K,深圳-罗湖区,五险一金全勤奖带薪年假周末双休节日福利
Android软件开发中级工程师,民营,100-499人,2019-09-20 14:10:36,大专,软件/互联网开发/系统集成,1-3年,山东和宁信息技术股份有限公司,7K-9K,济南-历下区,五险一金绩效奖金交通补助餐补通讯补助
Android开发工程师,国企,100-499人,2019-09-20 14:22:02,本科,软件/互联网开发/系统集成,1-3年,中科美菱低温科技股份有限公司,6K-10K,合肥-经济技术开发区,五险一金年底双薪绩效奖金定期体检免费班车
Android开发工程师,民营,20-99人,2019-09-20 14:19:35,大专,软件/互联网开发/系统集成,3-5年,福建可比信息科技有限公司,7K-10K,福州,五险一金年底双薪带薪年假员工旅游节日福利
android开发,民营,20-99人,2019-09-20 14:22:32,本科,软件/互联网开发/系统集成,1-3年,南京金智海智能科技有限公司,10K-15K,南京,五险一金年底双薪周末双休绩效奖金年终分红
Android开发工程师,民营,20人以下,2019-09-20 14:21:39,学历不限,软件/互联网开发/系统集成,1-3年,深圳弋云科技有限公司,10K-15K,北京-海淀区,五险一金年底双薪年终分红
Android开发工程师,合资,100-499人,2019-09-20 11:31:01,本科,软件/互联网开发/系统集成,3-5年,上海天畅信息技术有限公司,10K-12K,上海-嘉定区,五险一金绩效奖金全勤奖带薪年假弹性工作
Android开发/安卓开发工程师-杭州-00171,民营,1000-9999人,2019-09-20 14:02:18,本科,软件/互联网开发/系统集成,1-3年,杭州巨峰科技有限公司,8K-12K,杭州,五险一金绩效奖金全勤奖餐补带薪年假
Android开发工程师,民营,100-499人,2019-09-20 14:06:41,本科,生物/制药/医疗器械,1-3年,深圳市普博科技有限公司,10K-20K,深圳,周末双休五险一金餐补带薪年假节日福利
Android软件测试助理,民营,100-499人,2019-09-20 10:07:01,大专,软件/互联网开发/系统集成,无经验,深圳市十七大道科技有限公司,6K-8K,深圳-南山区,周末双休五险一金年底双薪绩效奖金节日福利
Android App工程师,民营,100-499人,2019-09-20 14:19:34,大专,软件/互联网开发/系统集成,3-5年,深圳市工易付电子科技有限公司,8K-10K,深圳,五险一金
Android,民营,20-99人,2019-09-20 13:33:55,学历不限,软件/互联网开发/系统集成,1-3年,山东迈拉克数字科技有限公司,5K-10K,济南,通讯补助绩效奖金带薪年假节日福利五险
Android开发工程师,民营,20-99人,2019-09-20 14:17:26,大专,软件/互联网开发/系统集成,3-5年,沃尔特生物技术(深圳)有限公司,10K-15K,深圳,包吃弹性工作五险一金带薪年假
急聘 Android开发工程师,民营,100-499人,2019-09-20 09:17:22,本科,软件/互联网开发/系统集成,3-5年,上海一里井会展服务有限公司,10K-15K,上海,带薪年假绩效奖金餐补加班补助弹性工作
