职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
产品经理（项目经理）,国企,20-99人,2019-09-20 15:06:07,本科,IT运维/技术支持,5-10年,联通集团财务有限公司,薪资面议,北京,周末双休五险一金餐补通讯补助采暖补贴
erp产品经理,民营,20-99人,2019-09-20 00:52:04,本科,互联网产品/运营管理,3-5年,郑州游戏啦网络科技有限公司,7.5K-15K,郑州,五险一金加班补助房补员工旅游节日福利
产品经理 （面膜）,上市公司,1000-9999人,2019-09-20 00:51:25,大专,高级管理,3-5年,成都迪康药业股份有限公司,8K-10K,成都-高新西区,周末双休五险一金年底双薪绩效奖金免费班车
化妆品产品经理（日本项目）,民营,20-99人,2019-09-20 13:42:05,本科,项目管理/项目协调,3-5年,盛世传美(苏州)生物科技有限公司,8K-10K,苏州-高新区,五险一金绩效奖金年终分红交通补助通讯补助
高级产品经理-cp,民营,100-499人,2019-09-20 00:51:29,本科,互联网产品/运营管理,3-5年,苏州奖多多科技有限公司,10K-20K,苏州,节日福利周末双休五险一金年底双薪绩效奖金
医药产品经理（市场部）,民营,20-99人,2019-09-20 14:44:49,大专,生物/制药/医疗器械,5-10年,石家庄中瀚医药科技有限公司,6K-8K,石家庄,五险一金节日福利带薪年假周末双休通讯补助
产品经理[深圳],其它,20-99人,2019-09-20 15:06:21,大专,互联网产品/运营管理,1-3年,深圳店小秘网络科技有限公司,8K-15K,深圳,五险一金股票期权餐补带薪年假员工旅游
技术产品经理   薪资面议,民营,20-99人,2019-09-20 14:42:11,本科,市场,3-5年,郑州高建企业管理咨询有限公司,6K-8K,郑州,五险一金绩效奖金全勤奖带薪年假带团队
产品经理,国企,20-99人,2019-09-20 00:51:18,大专,市场,不限,扬州扬大联环药业基因工程有限公司,3K-5K,扬州,五险一金交通补助餐补带薪年假高温补贴
产品经理,民营,20-99人,2019-09-20 13:15:02,本科,互联网产品/运营管理,5-10年,北京恒泰博远科技有限公司,15K-28K,北京,五险一金加班补助带薪年假弹性工作节日福利
硬件产品经理********,上市公司,1000-9999人,2019-09-20 00:51:35,本科,生物/制药/医疗器械,5-10年,石家庄以岭药业股份有限公司,15K-25K,石家庄,五险一金餐补定期体检免费班车员工旅游
