职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
平安银行贷款经理,上市公司,10000人以上,2019-09-20 00:52:52,大专,销售业务,3-5年,中国平安人寿保险股份有限公司河南分公司创新嘉美部,8K-10K,郑州,五险一金定期团建不加班员工旅游周末双休
郫县贷款6k+双休+绩效,股份制企业,10000人以上,2019-09-20 14:49:08,大专,证券/期货/投资管理/服务,不限,中国平安人寿保险股份有限公司四川分公司双丰团队,8K-10K,成都,绩效奖金弹性工作员工旅游节日福利创业公司
银行贷款信用卡欠款催收员,合资,500-999人,2019-09-20 14:18:02,大专,销售业务,不限,上海宏贯投资有限公司,10K-20K,上海-浦东新区,每年多次调薪五险一金绩效奖金带薪年假弹性工作
贷款专员,民营,20-99人,2019-09-20 14:03:25,学历不限,销售管理,不限,河北隆安实业集团有限公司,4K-6K,石家庄,五险一金绩效奖金全勤奖通讯补助交通补助
高薪急聘贷款催收员/风控专员/贷后管理专员+双休,民营,20-99人,2019-09-20 14:37:03,中专,销售业务,不限,深圳新思法律咨询有限公司湖南分公司,8K-10K,长沙-芙蓉区,五险一金周末双休不加班节日福利全勤奖
平安贷款专员,国企,10000人以上,2019-09-20 14:44:59,大专,销售业务,1-3年,成都友利莱文化传播有限公司,10K-15K,成都-金牛区,年底双薪绩效奖金年终分红带薪年假补充医疗保险
贷款,民营,10000人以上,2019-09-20 14:40:56,学历不限,互联网产品/运营管理,不限,中国人寿保险股份有限公司包头分公司第一营销服务部飞天部,8K-10K,包头-青山区,五险一金年底双薪绩效奖金年终分红带薪年假
双休七小时工作制+贷款专员+五险一金,民营,100-499人,2019-09-20 14:32:06,中专,销售业务,不限,四川御恒金融服务外包有限公司,8K-10K,成都-青羊区,五险一金年底双薪全勤奖带薪年假弹性工作
平安综合金融客户经理（银行＋保险＋证券+贷款+好房+好车）,股份制企业,10000人以上,2019-09-20 14:37:22,大专,销售业务,不限,中国平安人寿保险股份有限公司广东分公司天河营销服务部董艳玲,10K-15K,广州,绩效奖金弹性工作补充医疗保险定期体检员工旅游
国企编制/贷款专员/六险二金/双休/旅游/月薪2万起,国企,1000-9999人,2019-09-20 14:35:33,大专,销售业务,1-3年,南京鑫玉达金融信息服务有限公司,30K-50K,南京,节日福利带薪年假每年多次调薪定期团建员工旅游
金融贷款行业市场销售总监,民营,100-499人,2019-09-20 14:22:41,本科,销售管理,5-10年,成都安易达商务信息咨询有限公司,15K-20K,成都,五险一金全勤奖年底双薪绩效奖金餐补
3000底薪招贷款经理,其它,100-499人,2019-09-20 14:13:19,大专,销售管理,1-3年,重庆玛铃薯商务信息咨询有限公司,10K-15K,重庆,周末双休五险一金绩效奖金全勤奖带薪年假
贷款客户经理（社保+双休+高额提成）,民营,1000-9999人,2019-09-20 14:29:26,大专,销售业务,不限,武汉摩尔龙商务信息咨询有限公司,8K-10K,武汉,绩效奖金带薪年假公司重点项目节日福利
贷款专员,民营,20-99人,2019-09-20 14:25:30,学历不限,销售业务,不限,河北隆安实业集团有限公司,4K-6K,石家庄,绩效奖金通讯补助全勤奖节日福利员工旅游
平安贷款精英,股份制企业,500-999人,2019-09-20 14:29:43,学历不限,销售业务,不限,平安普惠投资咨询有限公司济南东源大厦营业部,10K-15K,济南,五险一金年底双薪绩效奖金年终分红全勤奖
贷款专员,股份制企业,500-999人,2019-09-20 14:29:45,大专,销售业务,不限,平安普惠投资咨询有限公司济南东源大厦营业部,8K-10K,济南,五险一金年底双薪绩效奖金年终分红全勤奖
平安贷款专员六险二金,股份制企业,500-999人,2019-09-20 14:29:41,大专,销售业务,不限,平安普惠投资咨询有限公司济南东源大厦营业部,8K-10K,济南,五险一金年底双薪绩效奖金年终分红全勤奖
诚聘贷款专员,股份制企业,500-999人,2019-09-20 14:30:10,大专,销售业务,不限,平安普惠投资咨询有限公司济南东源大厦营业部,8K-10K,济南,五险一金年底双薪绩效奖金年终分红全勤奖
诚聘平安普惠贷款专员,股份制企业,500-999人,2019-09-20 14:29:46,大专,销售业务,不限,平安普惠投资咨询有限公司济南东源大厦营业部,10K-15K,济南,五险一金年底双薪绩效奖金年终分红全勤奖
诚聘贷款专员,股份制企业,500-999人,2019-09-20 14:30:08,大专,银行,不限,平安普惠投资咨询有限公司济南东源大厦营业部,8K-10K,济南,五险一金绩效奖金全勤奖带薪年假补充医疗保险
贷款部客户经理,股份制企业,500-999人,2019-09-20 14:30:10,大专,销售业务,不限,平安普惠投资咨询有限公司济南东源大厦营业部,10K-15K,济南,年底双薪五险一金绩效奖金年终分红定期体检
平安诚聘贷款类销售精英,国企,1000-9999人,2019-09-20 14:28:24,大专,销售管理,不限,中国平安人寿保险股份有限公司湖北省展业服务第四营销服务部,10K-15K,武汉,周末双休出国游员工旅游弹性工作专业培训
贷款专员双休,股份制企业,1000-9999人,2019-09-20 14:25:40,大专,销售业务,1-3年,中国平安人寿保险股份有限公司河南分公司创新优才团队,8K-10K,郑州,五险一金年底双薪周末双休员工旅游带薪年假
贷款专员,民营,100-499人,2019-09-20 14:25:25,中专,销售业务,1-3年,宁波中业甬升企业管理咨询有限公司,10K-15K,宁波,五险一金周末双休不加班员工旅游节日福利
贷款文员,民营,20-99人,2019-09-20 14:24:21,大专,银行,不限,秦皇岛万万商务信息咨询有限公司,2K-4K,秦皇岛,绩效奖金节日福利
贷款专员,民营,20-99人,2019-09-20 14:27:14,学历不限,销售业务,不限,南京昌泽企业管理咨询有限公司,8K-10K,南京,交通补助不加班周末双休员工旅游出国游
平安贷款专员/助理（底薪+提成）,上市公司,不限,2019-09-20 14:23:15,大专,销售业务,不限,中国平安人寿保险股份有限公司河南分公司金融规划服务部,6K-8K,郑州,员工旅游周末双休绩效奖金弹性工作不加班
银行贷款,民营,20-99人,2019-09-20 14:17:06,中专,销售业务,不限,石家庄鑫宇金融服务外包有限公司,10K-15K,石家庄,年终分红绩效奖金节日福利餐补交通补助
嘉州路 银行贷款顾问,民营,20-99人,2019-09-20 14:22:32,大专,信托/担保/拍卖/典当,1-3年,重庆市壹倍征信有限责任公司,6K-8K,重庆-渝北区,出国游周末双休不加班节日福利五险
贷款销售,民营,10000人以上,2019-09-20 14:21:42,大专,证券/期货/投资管理/服务,1-3年,中国平安人寿保险股份有限公司安徽分公司北城售后部,8K-10K,合肥,年底双薪弹性工作补充医疗保险绩效奖金年终分红
眉山市贷款客户经理+无责底薪+高额提成=周末双休,民营,500-999人,2019-09-20 14:21:18,大专,销售业务,不限,成都融祥资产管理有限公司,8K-10K,眉山-东坡区,绩效奖金年终分红带薪年假员工旅游节日福利
