职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
电气工程师,民营,20-99人,2019-09-20 00:52:47,大专,电子/电器/半导体/仪器仪表,1-3年,苏州誉阵自动化科技有限公司,8K-10K,苏州,五险一金包吃节日福利员工旅游定期体检
电气工程师,民营,20-99人,2019-09-20 00:51:06,本科,电子/电器/半导体/仪器仪表,3-5年,天津九天电气有限公司,6K-8K,天津,五险一金年底双薪餐补定期体检弹性工作
电气工程师,民营,20-99人,2019-09-20 00:52:00,大专,能源/矿产/地质勘查,1-3年,北京信远筑仁科技发展有限公司,7K-8K,北京,五险一金绩效奖金餐补弹性工作项目奖金
电气工程师,民营,20-99人,2019-09-20 00:50:05,大专,土木/建筑/装修/市政工程,1-3年,甘肃龙辉节能环保科技有限公司 ,8K-10K,兰州,五险一金全勤奖通讯补助交通补助员工旅游
电气工程师,上市公司,500-999人,2019-09-20 14:08:15,硕士,电子/电器/半导体/仪器仪表,3-5年,西安天和防务技术股份有限公司,8K-12K,西安,五险一金包吃带薪年假免费班车全勤奖
电气工程师,股份制企业,20-99人,2019-09-20 00:52:26,本科,电子/电器/半导体/仪器仪表,不限,山东鲁信智能科技有限公司,5K-10K,烟台-开发区,餐补交通补助周末双休五险一金绩效奖金
电气工程师,国企,100-499人,2019-09-20 00:50:32,本科,电子/电器/半导体/仪器仪表,3-5年,江苏宝京汽车部件有限公司,6K-7K,镇江,绩效奖金加班补助包吃带薪年假补充医疗保险
电气工程师,民营,20-99人,2019-09-20 00:52:44,大专,电子/电器/半导体/仪器仪表,1-3年,苏州凯米凯新电子科技有限公司,8K-10K,苏州,五险一金交通补助包吃绩效奖金带薪年假
电气工程师,民营,20-99人,2019-09-20 00:52:31,大专,电子/电器/半导体/仪器仪表,3-5年,重庆佰思特智能装备有限公司,10K-15K,深圳,五险一金包住交通补助餐补带薪年假
电气工程师,股份制企业,20-99人,2019-09-20 14:01:33,大专,电子/电器/半导体/仪器仪表,1-3年,北京华明九州景观艺术有限公司,8K-10K,北京,五险一金餐补通讯补助
电气工程师,合资,20-99人,2019-09-20 00:52:44,大专,机械设计/制造/维修,不限,宁波宏志机器人科技有限公司,4K-6K,宁波-慈溪市,全勤奖绩效奖金
电气工程师,国企,100-499人,2019-09-20 00:52:09,学历不限,电子/电器/半导体/仪器仪表,10年以上,中国船舶重工集团新能源有限责任公司,6K-12K,巴彦淖尔,五险一金包吃包住节日福利
电气工程师,民营,20-99人,2019-09-20 00:52:03,大专,电子/电器/半导体/仪器仪表,3-5年,南京中衡元环保科技有限公司,6K-8K,南京-雨花台区,五险一金加班补助餐补通讯补助定期体检
嵌入式硬件电气工程师,民营,20-99人,2019-09-20 00:52:17,本科,软件/互联网开发/系统集成,1-3年,北京华信智航科技有限公司,16K-25K,北京,五险一金年底双薪绩效奖金节日福利定期体检
电气测试工程师,合资,1000-9999人,2019-09-20 00:53:01,本科,电子/电器/半导体/仪器仪表,3-5年,捷星显示科技(福建)有限公司,7K-10K,福州,周末双休五险一金年底双薪加班补助包吃
电气工程师,民营,500-999人,2019-09-20 00:51:06,本科,电子/电器/半导体/仪器仪表,不限,汤始建华建材(南通)有限公司,8K-10K,南通,五险一金绩效奖金包住带薪年假定期体检
电气工程师(J10877),合资,1000-9999人,2019-09-20 00:52:59,大专,电子/电器/半导体/仪器仪表,3-5年,成都华侨城欢乐谷旅游公司,6K-8K,成都,五险一金绩效奖金年底双薪包吃包住
电气工程师,合资,20-99人,2019-09-20 00:50:12,大专,电子/电器/半导体/仪器仪表,3-5年,上海宇峰自动化设备有限公司,6K-8K,上海,五险一金年底双薪绩效奖金
电气工程师设计调试,其它,20-99人,2019-09-20 00:52:51,大专,机械设计/制造/维修,不限,江苏格博自动化设备有限公司,3K-6K,无锡,五险一金年终分红餐补交通补助
