职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
技术支持工程师,民营,20-99人,2019-09-20 00:52:05,大专,IT运维/技术支持,1-3年,北京中电元德科技有限责任公司,4K-6K,北京,五险一金年终分红包吃餐补带薪年假
财务实习生,外商独资,100-499人,2019-09-20 00:51:16,大专,财务/审计/税务,无经验,吉林瑞能半导体有限公司,1K-2K,吉林市,
会计,民营,20-99人,2019-09-20 00:52:20,本科,财务/审计/税务,5-10年,北京耐尔得智能科技有限公司,8K-10K,北京-海淀区,五险一金餐补定期体检节日福利员工旅游
python架构师,民营,20人以下,2019-09-20 11:18:41,本科,软件/互联网开发/系统集成,1-3年,厦门强本科技有限公司,10K-15K,厦门,五险一金绩效奖金通讯补助交通补助弹性工作
射频工程师（工作地：镇江或上海）,民营,100-499人,2019-09-20 00:51:52,本科,电子/电器/半导体/仪器仪表,1-3年,江苏艾科半导体有限公司,8K-10K,上海-浦东新区,五险一金带薪年假交通补助餐补定期体检
java开发工程师,股份制企业,100-499人,2019-09-20 00:52:35,本科,软件/互联网开发/系统集成,5-10年,山东康威通信技术股份有限公司,10K-15K,北京-西城区,节日福利
web前端高级工程师,股份制企业,100-499人,2019-09-20 00:52:35,本科,软件/互联网开发/系统集成,5-10年,山东康威通信技术股份有限公司,10K-20K,北京,五险一金绩效奖金加班补助补充医疗保险员工旅游
Java高级开发工程师,民营,100-499人,2019-09-20 00:51:11,本科,软件/互联网开发/系统集成,3-5年,广东博思信息技术有限公司,10K-15K,深圳-南山区,五险一金年底双薪绩效奖金带薪年假员工旅游
软件开发工程师,民营,20-99人,2019-09-20 00:50:16,本科,软件/互联网开发/系统集成,3-5年,北京百通联惠电子技术有限公司,25K-35K,北京,
仓管员,民营,20-99人,2019-09-20 09:10:37,中专,物流/仓储,1-3年,深圳市朗维光子技术有限公司,4K-6K,深圳,包住
PCB Layout工程师,民营,20-99人,2019-09-20 00:52:29,大专,电子/电器/半导体/仪器仪表,3-5年,苏州迅芯微电子有限公司,3.5K-7K,苏州-工业园区,五险一金绩效奖金交通补助餐补带薪年假
系统软件工程师,民营,20-99人,2019-09-20 00:50:35,本科,软件/互联网开发/系统集成,3-5年,上海耕岩智能科技有限公司,15K-25K,上海,五险一金绩效奖金创业公司弹性工作带薪年假
iOS开发工程师,民营,20-99人,2019-09-20 00:50:45,硕士,软件/互联网开发/系统集成,3-5年,神州融安科技(北京)有限公司,10K-20K,北京-海淀区,五险一金绩效奖金餐补带薪年假定期体检
Linux软件开发工程师,民营,20-99人,2019-09-20 00:50:45,本科,软件/互联网开发/系统集成,3-5年,神州融安科技(北京)有限公司,10K-20K,北京,五险一金绩效奖金定期体检大牛带队公司重点项目
MAC开发工程师,民营,20-99人,2019-09-20 00:50:45,硕士,软件/互联网开发/系统集成,3-5年,神州融安科技(北京)有限公司,10K-20K,北京-海淀区,五险一金绩效奖金餐补带薪年假定期体检
维修普工,股份制企业,20人以下,2019-09-20 14:04:20,高中,技工/操作工,不限,湖南斧欣科技有限责任公司,3K-4K,长沙,节日福利餐补交通补助定期体检通讯补助
单片机软件工程师,民营,20-99人,2019-09-20 00:51:28,本科,软件/互联网开发/系统集成,1-3年,北京三驰惯性科技股份有限公司,10K-15K,北京,
质检员,合资,20-99人,2019-09-20 09:13:30,中专,质量管理/安全防护,不限,贵州玉蝶电工股份有限公司,2K-4K,贵阳,五险一金绩效奖金带薪年假包吃加班补助
销售代表,合资,20-99人,2019-09-20 00:51:06,学历不限,销售业务,不限,济南云畅网络技术有限公司,6K-8K,济南-高新区,五险一金年底双薪绩效奖金年终分红全勤奖
北京销售代表,民营,20-99人,2019-09-20 00:51:35,中专,销售业务,1-3年,深圳市朗恒科技有限公司,8K-10K,北京-昌平区,五险一金包住年终分红
嵌入式软件研发工程师,民营,20-99人,2019-09-20 00:51:27,本科,软件/互联网开发/系统集成,3-5年,保定飞凌嵌入式技术有限公司,10K-20K,北京,周末双休绩效奖金节日福利员工旅游五险一金
销售工程师,民营,20-99人,2019-09-20 00:51:12,大专,销售业务,1-3年,上海全一通讯技术有限公司,4.5K-9K,深圳-福田区,五险一金年底双薪绩效奖金带薪年假定期体检
客户服务专员,民营,20-99人,2019-09-20 00:50:39,本科,客服/售前/售后技术支持,3-5年,广州市怡晨电子科技有限公司,5K-10K,广州,
研发软件工程师/研发工程师/开发工程师,民营,20-99人,2019-09-20 00:52:19,本科,软件/互联网开发/系统集成,3-5年,上海澳悦智能科技有限公司,15K-20K,上海,五险一金全额公积金周末双休
c++工程师,民营,20-99人,2019-09-20 00:50:45,硕士,软件/互联网开发/系统集成,3-5年,神州融安科技(北京)有限公司,10K-15K,北京-海淀区,五险一金绩效奖金餐补带薪年假定期体检
销售经理,民营,20人以下,2019-09-20 14:09:09,大专,销售管理,1-3年,苏州元狩电子有限公司,10K-15K,苏州,五险一金员工旅游高温补贴节日福利不加班
嵌入式软件开发工程师,民营,20-99人,2019-09-20 00:51:02,本科,软件/互联网开发/系统集成,1-3年,南京凌鸥创芯电子有限公司,8K-16K,南京,五险一金绩效奖金定期体检员工旅游公积金
嵌入式软件开发,民营,20-99人,2019-09-20 00:50:16,本科,软件/互联网开发/系统集成,3-5年,北京百通联惠电子技术有限公司,20K-30K,北京,
行政助理,民营,20人以下,2019-09-20 00:50:41,大专,行政/后勤/文秘,不限,绍兴芯动半导体有限公司,2K-4K,绍兴,五险一金加班补助全勤奖交通补助节日福利
销售助理,民营,20人以下,2019-09-20 00:52:38,学历不限,销售行政/商务,不限,山西普旭光电技术有限公司,4K-6K,太原,绩效奖金弹性工作带薪年假餐补
FAE,民营,20-99人,2019-09-20 00:51:12,大专,客服/售前/售后技术支持,1-3年,上海全一通讯技术有限公司,6K-8K,深圳,五险一金年底双薪绩效奖金通讯补助交通补助
销售代表(职位编号：s01),民营,20-99人,2019-09-20 00:52:31,大专,销售管理,3-5年,深圳市新科微实业有限公司,8K-10K,深圳-宝安区,五险一金补充医疗保险绩效奖金员工旅游交通补助
销售工程师,民营,20-99人,2019-09-20 00:51:44,大专,销售业务,1-3年,深圳市阳光视觉科技有限公司,15K-20K,深圳-龙岗区,五险一金年底双薪绩效奖金定期体检员工旅游
IT助理工程师,外商独资,1000-9999人,2019-09-20 00:51:41,本科,IT运维/技术支持,不限,瑞仪光电（南京）有限公司,4K-5.5K,南京-栖霞区,五险一金包吃包住定期体检免费班车
