职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
电子工程师,民营,500-999人,2019-09-20 11:50:01,大专,电子/电器/半导体/仪器仪表,不限,上海怡科信息科技有限公司,5K-8K,南通,五险一金交通补助节日福利绩效奖金年底双薪
电子工程师/技术员助理可实习,民营,20-99人,2019-09-20 11:23:32,大专,电子/电器/半导体/仪器仪表,不限,尚昌通信科技有限公司,4K-6K,西安,五险一金绩效奖金加班补助包住餐补
电力电子硬件工程师,股份制企业,20-99人,2019-09-20 00:50:58,本科,能源/矿产/地质勘查,1-3年,西安班特利奥能源科技有限公司,12K-20K,西安,五险一金绩效奖金加班补助带薪年假弹性工作
销售工程师（销售电子器件，布吉工作）,民营,20-99人,2019-09-20 00:52:39,大专,销售业务,1-3年,深圳市华桑电子有限公司,8K-10K,深圳-龙岗区,五险一金年底双薪绩效奖金带薪年假弹性工作
电子工程师,合资,500-999人,2019-09-20 10:49:07,本科,电子/电器/半导体/仪器仪表,3-5年,正星科技股份有限公司,6K-9K,郑州,周末双休包住餐补定期体检节日福利
电子工程师,民营,20-99人,2019-09-20 14:03:03,大专,电子/电器/半导体/仪器仪表,不限,芜湖康爱而电气有限公司,3K-5K,芜湖,周末双休五险一金带薪年假全勤奖年底双薪
电子仪器设备维修工程师,国企,500-999人,2019-09-20 14:08:56,大专,电子/电器/半导体/仪器仪表,不限,中电科技德清华莹电子有限公司南京分公司,4K-6K,南京,五险一金绩效奖金加班补助餐补交通补助
"电子/电器工程师 (维护维修电子电器设备,行李x光机)_深圳",外商独资,20-99人,2019-09-20 14:18:05,本科,电子/电器/半导体/仪器仪表,不限,美国L3通讯公司,8K-12K,深圳-宝安区,五险一金年底双薪带薪年假加班补助交通补助
微电子工艺工程师,民营,20-99人,2019-09-20 00:51:23,本科,公务员/事业单位/科研机构,1-3年,北京清正泰科技术有限公司,8K-15K,深圳,五险一金带薪年假节日福利创业公司项目奖金
电子工程师,外商独资,20-99人,2019-09-20 14:16:18,本科,机械设计/制造/维修,3-5年,优联科技(深圳)有限公司,10K-15K,深圳,五险一金年底双薪绩效奖金交通补助节日福利
4000+电子工程师/技术员,股份制企业,100-499人,2019-09-20 10:58:29,大专,电子/电器/半导体/仪器仪表,不限,河南赛利纳信息科技有限公司,4K-6K,郑州,创业公司五险一金绩效奖金年终分红全勤奖
航空电子维修工程师,股份制企业,100-499人,2019-09-20 10:14:01,大专,电子/电器/半导体/仪器仪表,不限,成都华太航空科技股份有限公司,4K-6K,成都,五险一金绩效奖金交通补助通讯补助带薪年假
电子工程师,民营,100-499人,2019-09-20 10:16:05,大专,电子/电器/半导体/仪器仪表,3-5年,深圳市强普光电有限公司,8K-10K,深圳-宝安区,包住员工旅游节日福利五险餐补
