职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
城市更新项目经理,民营,20-99人,2019-09-20 14:18:09,大专,房地产开发/经纪/中介,1-3年,深圳市国浩土地房地产资产评估咨询有限公司,8K-15K,深圳,绩效奖金带薪年假节日福利周末双休
项目助理,民营,20-99人,2019-09-20 14:18:09,大专,房地产开发/经纪/中介,不限,深圳市国浩土地房地产资产评估咨询有限公司,4K-6K,深圳,绩效奖金带薪年假节日福利周末双休
房地产估价师,股份制企业,20-99人,2019-09-05 20:19:05,大专,房地产开发/经纪/中介,不限,山东中安土地房地产资产评估测绘有限公司,6K-8K,济南,五险一金绩效奖金餐补交通补助通讯补助
房地产估价员,股份制企业,20-99人,2019-09-10 09:43:08,学历不限,房地产开发/经纪/中介,不限,山东中安土地房地产资产评估测绘有限公司,2K-4K,济南,五险一金绩效奖金交通补助餐补员工旅游
拆迁评估经理助理/估价师助理（双休）,其它,20人以下,2019-09-20 11:08:03,大专,行政/后勤/文秘,1-3年,深圳市乐居行资产评估土地房地产估价顾问有限公司,5K-8K,深圳-罗湖区,五险一金年底双薪绩效奖金带薪年假周末双休
部门经理,民营,20-99人,2019-09-20 14:18:09,本科,房地产开发/经纪/中介,5-10年,深圳市国浩土地房地产资产评估咨询有限公司,15K-20K,深圳-福田区,五险一金带薪年假节日福利员工旅游全勤奖
惠州乐有家 给你一个不迷茫的人生 ,民营,10000人以上,2019-09-11 10:36:28,大专,销售业务,不限,深圳市乐有家控股集团有限公司,6K-8K,惠州-大亚湾区,五险一金绩效奖金带薪年假通讯补助员工旅游
总工程师地产,民营,500-999人,2019-07-03 23:23:44,本科,生产管理/运营,5-10年,源盛城发房地产开发集团有限公司,15K-25K,保定-新市区,五险一金绩效奖金通讯补助带薪年假定期体检
开发报建专员/主管,股份制企业,100-499人,2019-07-18 10:25:49,大专,房地产开发/经纪/中介,3-5年,河南星联置地集团有限公司,6K-8K,郑州,五险一金周末双休餐补通讯补助定期体检
计划运营经理,民营,1000-9999人,2019-09-16 08:30:02,本科,房地产开发/经纪/中介,5-10年,青岛天泰房地产开发股份有限公司,15K-20K,青岛,年底双薪五险一金交通补助定期体检员工旅游
