职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
高薪电话催收顾问 风控管理岗,股份制企业,10000人以上,2019-09-20 10:17:06,大专,证券/期货/投资管理/服务,不限,上海通易企业管理顾问有限公司,10K-15K,上海,五险一金年底双薪绩效奖金补充医疗保险节日福利
风控,民营,20-99人,2019-09-20 14:21:09,大专,银行,1年以下,河北佑安金融服务外包有限公司,3K-5K,保定,绩效奖金高温补贴节日福利周末双休
金融风控运营 非销售技术岗 地铁沿线,上市公司,500-999人,2019-09-20 14:48:50,学历不限,银行,不限,北京铭德瑞益信息咨询有限公司,8K-15K,北京-通州区,五险一金年终分红全勤奖定期团建弹性工作
无销售 风控专员 朝九晚五 可接受应届实习生,股份制企业,500-999人,2019-09-20 11:27:30,学历不限,证券/期货/投资管理/服务,不限,北京荣乾兴茂科技有限公司,6K-12K,宁波-鄞州区,五险一金全勤奖交通补助餐补弹性工作
双休：风控电话催收4000-7000,合资,1000-9999人,2019-09-20 12:19:01,大专,银行,不限,深圳辉盛达物流有限公司,4K-8K,包头-九原区,五险一金绩效奖金带薪年假定期体检员工旅游
风控催收专员,合资,1000-9999人,2019-09-20 14:02:06,中专,销售业务,不限,华道信息处理(苏州)有限公司徐州分公司,8K-10K,徐州,五险一金餐补绩效奖金带薪年假节日福利
金融风控经理 月新过万 五险一金,股份制企业,500-999人,2019-09-20 09:37:17,大专,银行,1-3年,北京荣乾兴茂科技有限公司,15K-20K,北京-朝阳区,五险一金带薪年假全勤奖节日福利定期团建
风控,股份制企业,500-999人,2019-09-20 14:11:50,学历不限,证券/期货/投资管理/服务,不限,北京雍贵联合投资有限公司,8K-10K,北京-朝阳区,绩效奖金弹性工作无试用期周末双休公司重点项目
风控部经理,民营,100-499人,2019-09-20 14:19:35,本科,证券/期货/投资管理/服务,不限,山西中汇鑫德融资担保有限公司,4K-6K,太原-小店区,员工旅游节日福利五险一金年底双薪绩效奖金
招商银行信用卡风控专员（月薪5000+五险+包住）,其它,1000-9999人,2019-09-20 11:55:20,学历不限,银行,不限,广东浩传管理服务有限公司福州分公司,5K-10K,福州-晋安区,五险一金绩效奖金全勤奖包住带薪年假
投资风控经理,合资,500-999人,2019-09-20 10:35:11,大专,证券/期货/投资管理/服务,1年以下,北京融汇天诚投资管理有限公司,15K-20K,北京,五险一金年底双薪绩效奖金弹性工作带薪年假
高薪聘请风控专员,民营,1000-9999人,2019-09-20 14:09:23,中专,银行,不限,深圳市金融联信息咨询有限公司,6K-8K,厦门,五险一金绩效奖金年终分红全勤奖带薪年假
风控审核员（4500底+提成+补贴+双休）,民营,100-499人,2019-09-20 14:02:22,大专,银行,1-3年,深圳市柏乐信息科技有限公司,8K-10K,深圳,五险一金年底双薪带薪年假弹性工作绩效奖金
投资风控专员,国企,100-499人,2019-09-20 13:53:31,本科,证券/期货/投资管理/服务,1-3年,北京启迪清云能源科技有限公司,8K-11K,北京-海淀区,五险一金年底双薪交通补助餐补通讯补助
风控催收,民营,20-99人,2019-09-20 14:47:54,学历不限,银行,1-3年,黑龙江隆先汽车服务有限公司,4K-6K,哈尔滨,绩效奖金弹性工作节日福利定期团建员工旅游
风控专员 五险 双休 年底双薪,上市公司,100-499人,2019-09-20 14:10:32,大专,银行,不限,深圳万乘联合投资有限公司山东分公司,6K-8K,济南-天桥区,五险一金年底双薪绩效奖金全勤奖员工旅游
风控文职客服+五险一金,外商独资,10000人以上,2019-09-20 14:46:02,大专,客服/售前/售后技术支持,不限,捷信消费金融有限公司,4K-6.5K,天津-和平区,节日福利五险一金带薪年假定期体检绩效奖金
风控审核专员班车双休,民营,20-99人,2019-09-20 13:57:51,大专,证券/期货/投资管理/服务,不限,上海人惠人力资源服务有限公司wb3,8K-10K,上海,五险一金绩效奖金带薪年假
风控审核专员,民营,100-499人,2019-09-20 14:02:22,大专,证券/期货/投资管理/服务,1-3年,深圳市柏乐信息科技有限公司,8K-10K,深圳,五险一金年底双薪带薪年假弹性工作绩效奖金
信用卡风控催收,民营,500-999人,2019-09-20 13:35:43,中专,银行,不限,一诺银华集团,6K-8K,重庆-渝中区,五险一金带薪年假节日福利绩效奖金员工旅游
综合风控专员,民营,10000人以上,2019-09-20 15:04:03,本科,银行,1-3年,宜信普惠信息咨询(北京)有限公司,4.5K-8K,重庆,五险一金弹性工作年底双薪绩效奖金补充医疗保险
风控专员,股份制企业,1000-9999人,2019-09-20 10:48:16,中专,银行,不限,锦创科技股份有限公司,4K-8K,广州-白云区,年底双薪绩效奖金加班补助全勤奖带薪年假
五险一金聘风控催收,民营,100-499人,2019-09-20 10:55:23,大专,银行,不限,北京鲁青企业管理咨询有限公司济南分公司,15K-20K,北京,五险一金绩效奖金带薪年假定期体检员工旅游
风控专员,股份制企业,1000-9999人,2019-09-20 13:18:16,中专,保险,1-3年,锦创科技股份有限公司,8K-10K,北京,五险一金全勤奖员工旅游节日福利带薪年假
国美金融风控专员（底薪3400 五险一金）,民营,1000-9999人,2019-09-20 14:13:33,中专,客服/售前/售后技术支持,不限,北京互连众信科技有限公司安徽分公司,8K-10K,合肥,五险一金年终分红全勤奖包住交通补助
风控策略工程师,民营,100-499人,2019-09-20 14:27:11,本科,证券/期货/投资管理/服务,3-5年,上海分蛋信息科技有限公司,25K-35K,上海-黄浦区,节日福利五险一金带薪年假年终奖金每年多次调薪
中年风控顾问,合资,500-999人,2019-09-20 10:35:11,本科,证券/期货/投资管理/服务,1-3年,北京融汇天诚投资管理有限公司,15K-20K,北京,五险一金年底双薪绩效奖金弹性工作带薪年假
回款专员/风控专员（朝九晚六）,民营,500-999人,2019-09-20 14:07:51,中专,客服/售前/售后技术支持,不限,辉记商贸有限公司,5K-10K,厦门-湖里区,五险一金年底双薪带薪年假节日福利定期团建
合规风控主管,股份制企业,100-499人,2019-09-20 10:57:10,本科,证券/期货/投资管理/服务,3-5年,国泰君安证券股份有限公司江苏分公司,8K-10K,南京-秦淮区,五险一金绩效奖金房补带薪年假补充医疗保险
金融风控专员4k-8k 双休 非销售 ,民营,100-499人,2019-09-20 13:32:24,大专,证券/期货/投资管理/服务,不限,陕西中鑫环汇商务咨询有限公司,4K-8K,西安-雁塔区,五险一金全勤奖带薪年假高温补贴节日福利
银行不良资产风控员【晋升快+高提成】,外商独资,20-99人,2019-09-20 15:05:04,大专,银行,不限,CBC(北京)信用管理有限公司河北分公司,5K-10K,石家庄,节日福利五险一金年底双薪绩效奖金加班补助
风控专员,股份制企业,20-99人,2019-09-20 10:52:51,大专,银行,不限,深圳市驭信法律咨询有限公司南昌分公司,6K-8K,南昌,绩效奖金全勤奖餐补弹性工作员工旅游
金融风控反欺诈SaaS软件销售经理,民营,20-99人,2019-09-20 13:36:14,大专,销售管理,1-3年,南京安诚云信息技术有限公司,8K-10K,南京,周末双休五险一金餐补交通补助通讯补助
诚聘风控专员,民营,20-99人,2019-09-20 10:17:41,大专,证券/期货/投资管理/服务,无经验,成都中鑫汇赢投资管理有限公司,4K-6K,成都-青羊区,五险一金节日福利不加班员工旅游带薪年假
长春信用卡风控专员4000-8000,民营,100-499人,2019-09-20 10:15:04,中专,银行,不限,沈阳盛业信金融服务有限公司,6K-8K,长春-二道区,绩效奖金五险一金带薪年假
风控催收专员+专业培训+年假,外商独资,10000人以上,2019-09-20 11:49:01,大专,行政/后勤/文秘,1年以下,捷信消费金融有限公司,4K-6K,天津-和平区,节日福利不加班五险一金绩效奖金带薪年假
不良资产风控专员,民营,20-99人,2019-09-20 14:11:02,大专,银行,3-5年,山东中盛善融企业管理咨询有限公司,5K-7K,济南,五险一金绩效奖金员工旅游项目奖金周末双休
急聘风控经理,合资,100-499人,2019-09-20 12:10:55,大专,证券/期货/投资管理/服务,3-5年,荣耀融资租赁有限公司,8K-10K,西安,弹性工作带薪年假加班补助五险一金绩效奖金
风控专员,股份制企业,1000-9999人,2019-09-20 10:21:29,大专,银行,不限,锦创科技股份有限公司,6K-8K,无锡,节日福利五险一金绩效奖金加班补助全勤奖
风控主管助理,民营,20-99人,2019-09-20 10:13:06,大专,证券/期货/投资管理/服务,1-3年,福州咸鱼科技有限公司长沙分公司,6K-8K,长沙,五险一金大牛带队定期团建不加班节日福利
风控专员无责底薪+五险一金,民营,20-99人,2019-09-20 09:56:43,大专,客服/售前/售后技术支持,不限,长沙安硕信息科技有限公司,3K-5K,长沙,五险一金年底双薪绩效奖金节日福利补充医疗保险
