职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
java高级工程师,民营,100-499人,2019-09-20 11:53:57,本科,软件/互联网开发/系统集成,5-10年,深圳蜂巢互联科技有限公司,15K-30K,南京-江宁区,五险一金绩效奖金加班补助带薪年假
★★ C++开发工程师/软件工程师 ★★,民营,100-499人,2019-09-20 10:42:07,本科,软件/互联网开发/系统集成,1-3年,深圳市乐易网络股份有限公司,10K-20K,深圳,餐补带薪年假员工旅游每年多次调薪出国游
中级大数据开发工程师,民营,500-999人,2019-09-20 09:38:51,本科,软件/互联网开发/系统集成,3-5年,上海睿民互联网科技有限公司,8K-15K,北京-顺义区,五险一金加班补助
etl工程师,民营,20-99人,2019-09-20 11:19:01,本科,软件/互联网开发/系统集成,3-5年,广州九图信息科技有限公司,10K-11K,广州-越秀区,五险一金年底双薪包吃包住
大数据工程师,民营,20-99人,2019-09-20 09:23:20,本科,软件/互联网开发/系统集成,1-3年,湖北新纵科病毒疾病工程技术有限公司,7K-12K,武汉,定期体检员工旅游周末双休五险一金年底双薪
中级开发工程师,民营,100-499人,2019-09-20 09:08:26,本科,软件/互联网开发/系统集成,3-5年,北京江融信科技有限公司,10K-17K,广州,五险一金年终分红加班补助弹性工作带薪年假
java架构师,民营,100-499人,2019-09-20 11:25:24,本科,软件/互联网开发/系统集成,5-10年,上海广拓信息技术有限公司,20K-30K,上海,周末双休交通补助餐补通讯补助员工旅游
高级java开发工程师,上市公司,100-499人,2019-09-20 10:03:33,本科,软件/互联网开发/系统集成,5-10年,北京方胜有成科技股份有限公司,15K-25K,北京-海淀区,五险一金周末双休交通补助餐补通讯补助
Java研发工程师,其它,20-99人,2019-09-20 10:01:05,本科,软件/互联网开发/系统集成,3-5年,成都大数据产业技术研究院有限公司,10K-15K,成都,五险一金年底双薪绩效奖金交通补助餐补
java架构师,国企,100-499人,2019-09-20 09:09:23,本科,软件/互联网开发/系统集成,5-10年,北京构力科技有限公司,25K-50K,北京,五险一金绩效奖金餐补补充医疗保险定期体检
大数据开发实习生,民营,500-999人,2019-09-20 11:35:02,学历不限,实习生/培训生/储备干部,1年以下,上海安秉信息技术有限公司,6K-8K,上海,五险一金年底双薪绩效奖金包住包吃
java软件项目经理,民营,100-499人,2019-09-20 11:39:52,本科,软件/互联网开发/系统集成,3-5年,河南中审科技有限公司,10K-15K,郑州-郑东新区 ,五险一金绩效奖金交通补助餐补带薪年假
大数据工程师(J10301),民营,100-499人,2019-09-20 14:21:28,本科,软件/互联网开发/系统集成,1-3年,北京腾云天下科技有限公司,15K-20K,北京-东城区,周末双休绩效奖金带薪年假弹性工作
