职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
JAVA高级程序员,民营,20-99人,2019-09-20 00:50:59,本科,软件/互联网开发/系统集成,3-5年,郑州保易达信息技术有限公司,10K-15K,郑州,五险一金绩效奖金带薪年假弹性工作定期体检
Java软件开发实习生 薪资5K+,民营,100-499人,2019-09-20 00:51:18,大专,软件/互联网开发/系统集成,不限,无锡极客信息技术有限公司,6K-8K,无锡,五险一金年底双薪绩效奖金通讯补助餐补
java开发工程师,股份制企业,100-499人,2019-09-20 00:50:05,本科,软件/互联网开发/系统集成,5-10年,神州数码医疗科技股份有限公司,15K-25K,北京-海淀区,五险一金绩效奖金交通补助餐补通讯补助
中级JAVA工程师,股份制企业,100-499人,2019-09-20 00:51:53,本科,软件/互联网开发/系统集成,1-3年,北京中盈安信技术服务股份有限公司,10K-15K,北京-海淀区,节日福利五险一金年底双薪绩效奖金餐补
Java开发工程师(金融）,股份制企业,500-999人,2019-09-20 00:52:02,本科,软件/互联网开发/系统集成,5-10年,北京寺库商贸有限公司,15K-20K,北京-东城区,五险一金绩效奖金带薪年假弹性工作定期体检
Java开发实习生—项目缺人,民营,100-499人,2019-09-20 14:09:23,学历不限,化工,不限,湖北众康空间体育产业孵化器有限公司,4K-6.5K,武汉-江夏区,五险一金全勤奖年底双薪绩效奖金包住
半成品LTS（JAVA工程师）,外商独资,20-99人,2019-09-20 00:50:05,本科,IT运维/技术支持,不限,锦湖轮胎(天津)有限公司,4K-6K,天津,五险一金年底双薪绩效奖金定期体检节日福利
java高级开发工程师,民营,100-499人,2019-09-20 00:51:41,本科,软件/互联网开发/系统集成,5-10年,内蒙古华讯软件有限公司,6K-12K,呼和浩特,五险一金周末双休全勤奖绩效奖金交通补助
苏州-资深java开发工程师（RESTful） (MJ000276),合资,500-999人,2019-09-20 00:50:42,本科,软件/互联网开发/系统集成,5-10年,盟拓软件(苏州)有限公司上海分公司,15K-25K,苏州,五险一金绩效奖金餐补带薪年假节日福利
JAVA研发工程师,股份制企业,100-499人,2019-09-20 00:51:07,大专,软件/互联网开发/系统集成,3-5年,山东普瑞森医疗设备股份有限公司,6K-8K,济宁,不加班节日福利五险一金绩效奖金交通补助
java开发,民营,20-99人,2019-09-20 00:50:55,本科,软件/互联网开发/系统集成,3-5年,西安迈实软件技术有限公司,4K-6K,哈尔滨-香坊区,五险加班补助
java开发工程师,民营,20人以下,2019-09-20 00:52:23,本科,软件/互联网开发/系统集成,3-5年,烟台牛链网络科技有限公司,8K-10K,烟台,五险一金绩效奖金带薪年假弹性工作节日福利
java开发工程师（中高级）,外商独资,100-499人,2019-09-20 00:52:09,本科,软件/互联网开发/系统集成,3-5年,威发系统(中国)有限公司,8K-16K,西安,五险一金年底双薪交通补助餐补带薪年假
高级JAVA工程师,股份制企业,500-999人,2019-09-20 00:51:00,大专,软件/互联网开发/系统集成,5-10年,上海锦江国际电子商务有限公司,15K-25K,上海-黄浦区,五险一金绩效奖金年终分红加班补助包吃
高级JAVA开发工程师,民营,100-499人,2019-09-20 00:50:41,大专,软件/互联网开发/系统集成,3-5年,深圳合生网络科技有限公司,12K-22K,深圳,五险一金绩效奖金交通补助弹性工作员工旅游
java开发组长,民营,100-499人,2019-09-20 00:51:59,学历不限,软件/互联网开发/系统集成,3-5年,山东益源环保科技有限公司,8K-12K,济南,五险一金年底双薪定期体检节日福利周末双休
JAVA高级开发工程师,民营,20人以下,2019-09-20 00:50:36,大专,软件/互联网开发/系统集成,1-3年,西安百想科技有限公司,8K-15K,西安,周末双休五险一金年底双薪绩效奖金加班补助
JAVA中级开发工程师,国企,100-499人,2019-09-20 00:52:51,本科,软件/互联网开发/系统集成,3-5年,工信通(北京)信息技术有限公司,8K-10K,北京,五险一金绩效奖金全勤奖带薪年假补充医疗保险
java开发工程师,国企,100-499人,2019-09-20 00:51:37,本科,软件/互联网开发/系统集成,1-3年,天翼视讯传媒有限公司,8K-15K,上海,五险一金绩效奖金餐补通讯补助带薪年假
急聘Java开发工程师助理,民营,100-499人,2019-09-20 14:07:42,大专,软件/互联网开发/系统集成,不限,湖北阿百云健康科技服务有限公司,4K-6K,武汉,周末双休五险一金包住全勤奖带薪年假
Java开发工程师,民营,20人以下,2019-09-20 09:21:37,本科,软件/互联网开发/系统集成,1-3年,山西安星达科技有限公司,3K-6K,太原,周末双休全勤奖五险一金加班补助节日福利
java开发工程师,民营,500-999人,2019-09-20 09:31:08,本科,软件/互联网开发/系统集成,3-5年,上海得逸信息技术有限公司,14K-16K,南京-建邺区,五险一金弹性工作带薪年假定期体检员工旅游
Java工程师,民营,20-99人,2019-09-20 00:50:34,大专,软件/互联网开发/系统集成,3-5年,山东泓萃信息技术有限公司,8K-10K,济南,五险一金周末双休节日福利
java工程师,民营,20-99人,2019-09-20 00:50:34,大专,软件/互联网开发/系统集成,1-3年,北京紫锐世博科技有限公司,6K-8K,北京,五险一金交通补助带薪年假通讯补助餐补
java开发工程师,民营,1000-9999人,2019-09-20 00:52:14,本科,软件/互联网开发/系统集成,3-5年,彩讯科技股份有限公司,10K-15K,上海,五险一金绩效奖金股票期权通讯补助带薪年假
java开发工程师,上市公司,1000-9999人,2019-09-20 00:51:12,本科,软件/互联网开发/系统集成,3-5年,北京中科金财科技股份有限公司杭州分公司,9K-13K,杭州,五险一金年底双薪交通补助餐补通讯补助
后端开发java、PHP、.net语言开发,民营,100-499人,2019-09-20 00:52:37,学历不限,软件/互联网开发/系统集成,不限,河北尚金房地产开发集团有限公司,4K-6K,保定,包吃包住全勤奖节日福利
JAVA软件工程师（郑州）,民营,100-499人,2019-09-20 00:51:21,大专,软件/互联网开发/系统集成,3-5年,上海南康科技有限公司,5K-8K,郑州-金水区,五险一金餐补带薪年假定期体检员工旅游
高级java开发工程师,民营,100-499人,2019-09-20 00:52:02,本科,软件/互联网开发/系统集成,3-5年,北京宝润兴业科技股份有限公司,15K-20K,深圳,五险一金周末双休定期体检节日福利加班补助
中级java工程师,其它,20-99人,2019-09-20 00:51:23,本科,软件/互联网开发/系统集成,1-3年,江西新能源汽车大数据中心有限公司,10K-15K,上海,五险一金
高级java开发工程师,民营,20-99人,2019-09-20 00:50:31,大专,软件/互联网开发/系统集成,3-5年,南京绿和信息技术有限公司,10K-12K,南京,五险一金年底双薪绩效奖金加班补助交通补助
java开发工程师,民营,100-499人,2019-09-20 14:15:29,大专,软件/互联网开发/系统集成,3-5年,深圳合生网络科技有限公司,10K-15K,上海,五险一金绩效奖金带薪年假全勤奖节日福利
中高级JAVA开发工程师,民营,100-499人,2019-09-20 00:50:44,本科,其他,3-5年,广州唯咖玖网络科技有限公司,15K-25K,广州-天河区,
java开发工程师,民营,100-499人,2019-09-20 00:50:39,本科,软件/互联网开发/系统集成,3-5年,深圳市德立云物联网科技有限公司,15K-20K,深圳,五险一金餐补全勤奖节日福利
Java开发工程师,不限,20人以下,2019-09-20 00:52:35,本科,软件/互联网开发/系统集成,1-3年,上海动永网络科技有限公司,7K-12K,上海,五险一金绩效奖金交通补助带薪年假员工旅游
java高级开发工程师,股份制企业,100-499人,2019-09-20 00:51:09,本科,软件/互联网开发/系统集成,5-10年,上海能良电子科技有限公司,15K-20K,上海,五险一金公司重点项目
java研发工程师,民营,20-99人,2019-09-20 00:52:46,本科,软件/互联网开发/系统集成,3-5年,浙江原初数据科技有限公司,10K-20K,杭州,五险一金绩效奖金包吃弹性工作试用期全额
java高级工程师,合资,100-499人,2019-09-20 00:50:59,大专,软件/互联网开发/系统集成,3-5年,广东南方海岸科技服务有限公司,8K-15K,广州-海珠区,五险一金年底双薪绩效奖金餐补带薪年假
java架构师,上市公司,20-99人,2019-09-20 00:50:26,本科,软件/互联网开发/系统集成,5-10年,杭州银杏谷企业管理咨询有限公司,25K-50K,杭州,五险一金包吃包住年底双薪绩效奖金
Java开发工程师,民营,20-99人,2019-09-20 14:02:22,大专,软件/互联网开发/系统集成,3-5年,北京弘毅知行科技有限公司,10K-15K,北京,五险一金年底双薪绩效奖金加班补助全勤奖
java工程师,民营,20-99人,2019-09-20 00:50:44,本科,软件/互联网开发/系统集成,1-3年,赫里奥(苏州)科技有限公司,6K-10K,苏州,年底双薪五险一金周末双休带薪年假股票期权
java高级工程师,民营,20-99人,2019-09-20 00:52:52,本科,软件/互联网开发/系统集成,3-5年,长春风火轮科技有限公司,8K-12K,长春,绩效奖金五险一金带薪年假每年多次调薪周末双休
高级java开发工程师,民营,20-99人,2019-09-20 00:50:32,本科,软件/互联网开发/系统集成,3-5年,北京中安瑞力科技有限公司,10K-20K,北京,绩效奖金五险一金股票期权弹性工作通讯补助
java工程师,国企,100-499人,2019-09-20 00:51:03,本科,软件/互联网开发/系统集成,5-10年,中国建筑工业出版社,10K-15K,北京,五险一金定期体检包吃带薪年假节日福利
