职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
美工,民营,100-499人,2019-09-20 14:20:06,大专,艺术/设计,1-3年,广州市科莲美容化妆品有限公司,3K-5K,广州,五险一金绩效奖金带薪年假节日福利
平面设计助理/美工（可转正）,民营,100-499人,2019-09-20 14:22:39,学历不限,影视/媒体/出版/印刷,无经验,成都菲朗科技有限公司,3.5K-5.5K,成都,五险一金年底双薪包住周末双休弹性工作
天猫美工/淘宝美工/网店美工,民营,20-99人,2019-09-20 14:22:29,中技,软件/互联网开发/系统集成,1-3年,广州市浩康化妆品有限公司,4K-6K,广州,每年多次调薪五险一金绩效奖金全勤奖弹性工作
美工助理,不限,20人以下,2019-09-20 00:50:15,学历不限,艺术/设计,不限,杭州威兔进出口有限公司,2K-4K,杭州-下城区,周末双休餐补带薪年假弹性工作员工旅游
企业宣传/设计美工,外商独资,20-99人,2019-09-20 00:50:53,大专,艺术/设计,1年以下,义斯盟箱柜制造(常熟)有限公司,4K-6K,苏州-工业园区,五险一金年底双薪绩效奖金加班补助餐补
网页美工设计主管,民营,20-99人,2019-09-20 00:50:15,大专,软件/互联网开发/系统集成,3-5年,上海有印良品电子商务有限公司,8K-12K,上海,五险一金全勤奖通讯补助餐补弹性工作
美工设计,民营,20-99人,2019-09-20 00:50:13,本科,软件/互联网开发/系统集成,1-3年,南京荟百颜医疗美容有限公司,6K-8K,南京,创业公司包吃包住五险一金
天猫/淘宝美工平面设计师,民营,20人以下,2019-09-20 11:23:24,大专,软件/互联网开发/系统集成,1-3年,中山市轻素网络科技有限公司,6K-7K,中山,绩效奖金交通补助弹性工作
美工设计,民营,20人以下,2019-09-20 00:50:11,学历不限,艺术/设计,不限,合肥泽馨文化传媒有限公司,4K-6K,合肥-包河区,五险一金年底双薪绩效奖金年终分红全勤奖
美工,民营,20人以下,2019-09-20 00:50:11,学历不限,艺术/设计,不限,合肥泽馨文化传媒有限公司,4K-6K,合肥-包河区,五险一金年底双薪绩效奖金年终分红全勤奖
淘宝美工设计,民营,20-99人,2019-09-20 00:51:43,大专,艺术/设计,1-3年,沈阳新思路电子商务有限公司,4K-6K,沈阳,创业公司五险一金员工旅游股票期权绩效奖金
美工设计师,股份制企业,20-99人,2019-09-20 00:51:36,学历不限,艺术/设计,1-3年,河北英茂生物科技有限公司,4K-6K,石家庄,绩效奖金年终分红员工旅游节日福利定期团建
淘宝美工,民营,20人以下,2019-09-20 00:50:43,学历不限,艺术/设计,1-3年,临沂搜果信息科技有限公司,4K-6K,临沂,年终分红弹性工作不加班定期团建项目奖金
淘宝美工,民营,100-499人,2019-09-20 00:52:00,学历不限,艺术/设计,1-3年,河南亚禾信息技术有限公司,4K-6K,郑州,五险一金年终分红全勤奖包住每年多次调薪
淘宝美工/平面设计/天猫设计/可实习,不限,20人以下,2019-09-20 14:10:02,学历不限,艺术/设计,不限,杭州阅财信息技术有限公司,4K-6K,广州,全勤奖年终分红
淘宝美工,民营,20-99人,2019-09-20 00:50:14,大专,软件/互联网开发/系统集成,不限,北京金其利世纪家居用品有限公司,6K-8K,北京,
