职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
php程序员/高薪诚聘程序员,民营,20-99人,2019-09-20 14:10:16,本科,软件/互联网开发/系统集成,1-3年,陕西创程教育科技有限公司,5K-10K,西安,绩效奖金员工旅游节日福利带薪年假不加班
网站程序员php,民营,100-499人,2019-09-20 14:02:27,大专,软件/互联网开发/系统集成,3-5年,吉林省珍实惠贸易有限公司,8K-10K,长春,五险一金绩效奖金股票期权全勤奖通讯补助
php程序员/工程师/开发/双休+五险,民营,20人以下,2019-09-20 14:03:36,大专,软件/互联网开发/系统集成,1-3年,哈尔滨羲和网络科技开发有限公司,4K-6K,哈尔滨,周末双休五险节日福利弹性工作项目奖金
php开发工程师+五险一金,民营,100-499人,2019-09-20 14:03:28,大专,软件/互联网开发/系统集成,不限,沈阳辉浩科技有限公司,3K-5K,沈阳,五险一金绩效奖金交通补助节日福利定期体检
php开发工程师,民营,100-499人,2019-09-20 14:14:05,本科,软件/互联网开发/系统集成,5-10年,山东经桥商务集团有限公司,15K-25K,济南,节日福利员工旅游五险一金弹性工作绩效奖金
PHP后端开发 5名,股份制企业,100-499人,2019-09-20 13:49:02,本科,软件/互联网开发/系统集成,1-3年,浙江趣看点科技有限公司,6K-12K,嘉兴,五险一金年底双薪绩效奖金年终分红全勤奖
php高级工程师,民营,100-499人,2019-09-20 13:48:59,大专,软件/互联网开发/系统集成,1-3年,厦门和新电子商务有限公司,8K-12K,厦门-湖里区,五险年底双薪带薪年假免费班车定期体检
php高级工程师,民营,20人以下,2019-09-20 13:49:04,学历不限,软件/互联网开发/系统集成,不限,长沙德尚网络科技有限公司,6K-8K,长沙,创业公司每年多次调薪绩效奖金加班补助全勤奖
php高级工程师/技术经理,民营,100-499人,2019-09-20 13:49:02,大专,软件/互联网开发/系统集成,3-5年,广州领客信息科技股份有限公司,10K-15K,广州-天河区,五险一金绩效奖金员工旅游节日福利每年多次调薪
PHP开发工程师 薪资优厚,民营,20-99人,2019-09-20 14:13:10,大专,软件/互联网开发/系统集成,1-3年,河南腾远信息技术有限公司,6K-10K,郑州,年底双薪绩效奖金年终分红加班补助带薪年假
