职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
Python开发工程师,民营,1000-9999人,2019-09-20 14:16:31,大专,软件/互联网开发/系统集成,1-3年,报喜鸟控股股份有限公司,8K-10K,温州,周末双休年底双薪定期体检免费班车节日福利
python爬虫工程师,民营,1000-9999人,2019-09-20 14:16:12,大专,软件/互联网开发/系统集成,3-5年,衡哲信息科技(上海)有限公司,10K-18K,上海,五险一金绩效奖金餐补带薪年假
Python开发工程师,民营,不限,2019-09-20 14:14:33,本科,软件/互联网开发/系统集成,3-5年,成都玛尔斯科技有限公司,14K-18K,成都-天府新区,五险一金带团队定期体检公司重点项目
软件开发（Python语言技能良好者优先）,民营,20-99人,2019-09-20 08:48:07,本科,软件/互联网开发/系统集成,3-5年,西安雷风电子科技有限公司,7K-14K,西安,五险一金股票期权带薪年假节日福利绩效奖金
python开发工程师,民营,20-99人,2019-09-20 11:48:01,本科,软件/互联网开发/系统集成,不限,上海天存信息技术有限公司,8K-15K,上海-浦东新区,五险一金年底双薪绩效奖金定期体检弹性工作
Python开发工程师,民营,20-99人,2019-09-20 11:34:55,本科,软件/互联网开发/系统集成,3-5年,上海潇如文化传播有限公司,10K-15K,上海,股票期权包吃带薪年假员工旅游创业公司
python工程师（中级）,民营,20-99人,2019-09-20 14:11:11,本科,软件/互联网开发/系统集成,1-3年,成都微银合创科技有限公司,8K-15K,成都-高新区,五险一金带薪年假定期体检节日福利每年多次调薪
Python高级开发工程师,民营,20-99人,2019-09-20 14:08:25,本科,软件/互联网开发/系统集成,3-5年,掌柜互连科技(北京)有限公司,10K-20K,北京,
Python工程师/自动化开发工程师,其它,100-499人,2019-09-20 09:19:36,本科,软件/互联网开发/系统集成,1-3年,吉贝克信息技术（北京）有限公司,8K-16K,北京-西城区,
Python少儿编程讲师,民营,10000人以上,2019-09-20 14:05:08,本科,教育/培训,1-3年,北京启初教育咨询有限公司,8K-10K,北京,五险一金试用期全额
python开发工程师,民营,20-99人,2019-09-20 09:08:47,本科,软件/互联网开发/系统集成,3-5年,厦门傲珂尼电子科技有限公司,5K-10K,厦门,创业公司周末双休
Perl/Python/Golang高级工程师（南京5G）,国企,500-999人,2019-09-20 14:02:35,本科,软件/互联网开发/系统集成,3-5年,中盈优创资讯科技有限公司,12K-24K,南京-建邺区,
Perl/Python/Golang高级工程师（南京物联网）,国企,500-999人,2019-09-20 14:01:11,本科,软件/互联网开发/系统集成,3-5年,中盈优创资讯科技有限公司,12K-24K,南京-建邺区,
python WEB后端研发工程师,上市公司,20-99人,2019-09-20 09:12:19,本科,软件/互联网开发/系统集成,3-5年,微诺时代(北京)科技股份有限公司,10K-20K,北京-海淀区,五险一金年底双薪加班补助交通补助餐补
python软件工程师,外商独资,100-499人,2019-09-20 12:52:18,本科,软件/互联网开发/系统集成,1-3年,西安英兆软件信息有限责任公司,6K-9K,西安,周末双休不加班节日福利员工旅游绩效奖金
GIS开发中级工程师（Java/Python/C++方向）,事业单位,20-99人,2019-09-20 10:52:21,本科,软件/互联网开发/系统集成,3-5年,成都市交通发展研究院,8K-10K,成都,五险一金定期体检周末双休带薪年假节日福利
Python 全栈开发工程师,民营,100-499人,2019-09-20 11:35:01,大专,软件/互联网开发/系统集成,1-3年,天津英才酷信息科技有限公司,15K-20K,北京,五险一金年底双薪弹性工作补充医疗保险定期体检
python高级开发工程师,不限,20-99人,2019-09-20 09:12:14,本科,软件/互联网开发/系统集成,3-5年,湖南丁当通联信息科技有限公司,8K-10K,长沙,五险一金全勤奖绩效奖金通讯补助年终分红
python开发,民营,1000-9999人,2019-09-20 09:45:07,本科,软件/互联网开发/系统集成,3-5年,江苏润和软件股份有限公司,10K-15K,上海,五险一金周末双休餐补带薪年假节日福利
Python研发工程师,民营,500-999人,2019-09-20 10:35:44,本科,软件/互联网开发/系统集成,1-3年,合肥市合趣网络科技有限公司,6K-10K,合肥-经济技术开发区,每年多次调薪绩效奖金加班补助员工旅游高温补贴
Python全栈开发工程师,民营,20-99人,2019-09-20 10:44:26,本科,软件/互联网开发/系统集成,3-5年,北京阿拉丁香科技有限公司,15K-20K,北京-海淀区,平台大有发展前景周末双休五险一金
python后端工程师,民营,20-99人,2019-09-20 10:01:19,大专,软件/互联网开发/系统集成,3-5年,河北易金信息服务科技有限公司,6K-10K,石家庄-桥西区,五险一金全勤奖定期体检员工旅游节日福利
python测试开发工程师,民营,100-499人,2019-09-20 09:56:39,大专,IT质量管理/测试/配置管理,3-5年,广州安正软件股份有限公司,10K-15K,深圳-福田区,周末双休五险一金节日福利带薪年假餐补
Python开发工程师,外商独资,100-499人,2019-09-20 12:09:02,本科,软件/互联网开发/系统集成,5-10年,FORISLIMITED,50K-100K,深圳,五险一金带薪年假弹性工作生日福利创业公司
python开发工程师,民营,100-499人,2019-09-20 09:56:28,本科,软件/互联网开发/系统集成,5-10年,深圳华云声信息技术有限公司,10K-15K,武汉-江岸区,五险一金年底双薪绩效奖金全勤奖餐补
python算法工程,民营,20-99人,2019-09-20 10:52:08,学历不限,软件/互联网开发/系统集成,不限,河北重达科技有限公司,5K-10K,石家庄,五险一金节日福利周末双休高温补贴年终分红
全栈工程师（python）,民营,20-99人,2019-09-20 10:33:06,本科,软件/互联网开发/系统集成,3-5年,成都原子数据科技有限公司,8K-16K,成都,五险一金绩效奖金带薪年假定期体检节日福利
"Python,Swift,Java软件工程师 应届毕业生",外商独资,20-99人,2019-09-20 10:39:12,学历不限,软件/互联网开发/系统集成,不限,宁波创母体网络科技有限公司,4K-6K,宁波,五险一金年底双薪房补带薪年假
python,民营,100-499人,2019-09-20 09:08:42,本科,软件/互联网开发/系统集成,不限,郑州宾士网络技术有限公司,4K-6K,郑州-高新区,单双轮休节日福利带薪年假绩效奖金每年多次调薪
Python开发工程师,股份制企业,500-999人,2019-09-20 10:47:53,大专,软件/互联网开发/系统集成,3-5年,北京拓普丰联信息工程有限公司,5K-9K,郑州,五险一金年底双薪绩效奖金带薪年假定期体检
运维工程师（Python方向）,民营,100-499人,2019-09-20 10:07:05,大专,IT运维/技术支持,1-3年,深圳市丽海弘金科技有限公司,6K-10K,深圳-南山区,创业公司五险一金加班补助带薪年假定期体检
软件工程师（Python）,民营,1000-9999人,2019-09-20 09:24:34,本科,软件/互联网开发/系统集成,不限,沈阳盘古网络技术有限公司,4K-6K,沈阳,五险一金周末双休绩效奖金节日福利带薪年假
阿斯麦-Python半导体测试工程师,合资,1000-9999人,2019-09-20 10:47:37,本科,软件/互联网开发/系统集成,1-3年,北京外企德科人力资源服务上海有限公司,10K-15K,深圳-南山区,五险一金带薪年假绩效奖金节日福利试用期全额
python开发工程师,股份制企业,100-499人,2019-09-20 09:17:22,大专,软件/互联网开发/系统集成,1-3年,襄阳三阳教育科技有限公司,8K-10K,襄阳,五险一金全勤奖绩效奖金节日福利每年多次调薪
Python 讲师（五险一金+餐补）,民营,1000-9999人,2019-09-20 10:46:11,大专,教育/培训,不限,湖南潭州教育网络科技有限公司成都分公司,6K-12K,成都,五险一金包吃绩效奖金带薪年假定期体检
Python开发（区块链方向）,民营,100-499人,2019-09-20 10:46:15,本科,软件/互联网开发/系统集成,3-5年,河北鼎联科技有限公司,15K-20K,北京,节日福利餐补接收档案燕郊购房资格社会保险
Python开发工程师,民营,20-99人,2019-09-20 08:44:39,本科,软件/互联网开发/系统集成,1-3年,西安鼎拓信息科技有限公司,5K-8K,西安,五险一金绩效奖金年终分红弹性工作补充医疗保险
Python开发工程师,民营,100-499人,2019-09-20 10:37:27,本科,软件/互联网开发/系统集成,3-5年,上海慧住信息科技有限公司,15K-20K,上海-静安区,五险一金节日福利定期团建带团队创业公司
Python带薪 双休 带薪实习,上市公司,10000人以上,2019-09-20 10:20:52,大专,软件/互联网开发/系统集成,不限,哈尔滨卓云睿创科技服务有限公司,3K-6K,哈尔滨,周末双休五险一金绩效奖金通讯补助带薪年假
高级Python开发工程师,民营,20-99人,2019-09-20 10:10:01,学历不限,软件/互联网开发/系统集成,1-3年,大连联合企邦科技有限公司,30K-50K,大连,五险一金绩效奖金
后端开发工程师Python,股份制企业,500-999人,2019-09-20 09:05:22,本科,软件/互联网开发/系统集成,1-3年,天津天大求实电力新技术股份有限公司,7K-14K,天津,节日福利五险一金绩效奖金餐补带薪年假
中级Python开发工程师,民营,20-99人,2019-09-20 09:37:19,本科,软件/互联网开发/系统集成,3-5年,深圳锐链科技有限公司,10K-15K,深圳,五险一金加班补助绩效奖金弹性工作带薪年假
 Python开发工程师,民营,100-499人,2019-09-20 09:51:43,本科,软件/互联网开发/系统集成,3-5年,北京数字联盟网络科技有限公司,15K-25K,北京,年底双薪定期体检弹性工作补充医疗保险五险一金
Python开发工程师,民营,1000-9999人,2019-09-20 10:00:52,本科,软件/互联网开发/系统集成,5-10年,北京好车帅帅科技有限公司,20K-30K,北京,弹性工作五险一金带薪年假定期体检绩效奖金
Python研发经理,民营,100-499人,2019-09-20 09:51:43,本科,软件/互联网开发/系统集成,5-10年,北京数字联盟网络科技有限公司,20K-30K,北京,年底双薪定期体检弹性工作补充医疗保险五险一金
python软件开发工程师,外商独资,100-499人,2019-09-20 09:34:04,本科,软件/互联网开发/系统集成,3-5年,智邦大陆科技有限公司,8K-14K,武汉-洪山区,五险一金绩效奖金带薪年假
python培训讲师,民营,20人以下,2019-09-20 09:30:34,大专,教育/培训,1-3年,维兴云科技(厦门)有限公司,5.5K-8K,厦门,五险一金周末双休项目奖金绩效奖金定期团建
python工程师,民营,100-499人,2019-09-20 09:10:06,本科,软件/互联网开发/系统集成,1-3年,北京车智汇通信息技术有限公司,10K-18K,北京,创业公司周末双休五险一金绩效奖金弹性工作
Python安全开发工程师,民营,100-499人,2019-09-20 09:12:35,学历不限,软件/互联网开发/系统集成,1-3年,北京永信至诚科技股份有限公司,10K-18K,北京,五险一金年底双薪加班补助餐补补充医疗保险
python开发工程师,民营,20人以下,2019-09-20 09:10:46,学历不限,软件/互联网开发/系统集成,不限,潍坊飞塔思信息科技有限公司,5K-10K,潍坊,五险一金节日福利每年多次调薪周末双休项目奖金
python工程师,股份制企业,100-499人,2019-09-20 09:09:11,本科,软件/互联网开发/系统集成,3-5年,北京思维实创科技股份有限公司,10K-15K,北京,五险一金年底双薪绩效奖金交通补助餐补
Python,民营,20-99人,2019-09-20 09:02:17,本科,软件/互联网开发/系统集成,3-5年,一米信息服务(北京)有限公司,10K-20K,北京-朝阳区,创业公司绩效奖金定期体检带薪年假节日福利
python实习生,股份制企业,100-499人,2019-09-20 08:53:36,大专,软件/互联网开发/系统集成,无经验,北京托普云数据技术有限公司,4K-6K,北京-海淀区,五险一金年底双薪绩效奖金加班补助全勤奖
Python开发工程师,民营,100-499人,2019-09-20 08:36:03,大专,软件/互联网开发/系统集成,1年以下,上海聪日网络科技有限公司,6K-8K,上海,五险一金全勤奖年底双薪带薪年假
QT/Python工程师（pyqt|pyside）,民营,20-99人,2019-09-20 08:05:03,本科,软件/互联网开发/系统集成,1-3年,北京群源电力科技有限公司,8K-15K,北京,五险一金绩效奖金包住带薪年假节日福利
NLP工程师（知识建模方向）,股份制企业,100-499人,2019-09-20 00:51:46,硕士,软件/互联网开发/系统集成,3-5年,神州数码医疗科技股份有限公司,20K-40K,北京-海淀区,五险一金交通补助餐补定期体检补充医疗保险
高级运维开发工程师,上市公司,10000人以上,2019-09-20 00:50:33,本科,IT运维/技术支持,5-10年,圆通速递有限公司,15K-30K,上海,节日福利五险一金绩效奖金包吃包住
大数据工程师,股份制企业,1000-9999人,2019-09-20 00:50:41,本科,软件/互联网开发/系统集成,3-5年,智联招聘,20K-30K,北京,弹性工作年底双薪五险一金工作居住证带薪年假
数据工程师,民营,20-99人,2019-09-20 00:51:59,本科,IT运维/技术支持,不限,万维云网(北京)数据科技有限公司,7K-12K,济南-高新区,节日福利五险一金绩效奖金带薪年假弹性工作
测试工程师,上市公司,10000人以上,2019-09-20 00:50:37,本科,IT质量管理/测试/配置管理,3-5年,圆通速递有限公司,10K-15K,杭州-余杭区,周末双休五险一金绩效奖金带薪年假
高级测试开发工程师,股份制企业,10000人以上,2019-09-20 00:50:46,本科,IT质量管理/测试/配置管理,5-10年,阳光财产保险股份有限公司3,18K-36K,北京,五险一金绩效奖金交通补助餐补通讯补助
服务器运维工程师,民营,20-99人,2019-09-20 00:51:25,大专,客服/售前/售后技术支持,1-3年,厦门风烁科技有限公司,6K-12K,厦门-湖里区,五险一金年底双薪绩效奖金加班补助全勤奖
生物信息分析员,民营,20-99人,2019-09-20 00:50:55,本科,生物/制药/医疗器械,1-3年,北京金则医学检验实验室有限公司,15K-25K,北京,五险一金绩效奖金带薪年假全勤奖
数据挖掘工程师,股份制企业,100-499人,2019-09-20 00:51:57,硕士,软件/互联网开发/系统集成,不限,神州数码医疗科技股份有限公司,20K-35K,北京-海淀区,五险一金交通补助餐补定期体检补充医疗保险
编程课程指导老师/水晶国际校区,民营,100-499人,2019-09-20 00:51:23,本科,教育/培训,1-3年,重庆乐趣多教育咨询有限公司渝北分公司,4K-6K,重庆-渝北区,五险一金绩效奖金节日福利创业公司带薪年假
测试工程师,外商独资,100-499人,2019-09-20 00:50:09,本科,IT质量管理/测试/配置管理,1-3年,瑞思特智能科技(天津)有限公司,4K-6K,天津,五险一金餐补员工旅游周末双休带薪年假
视觉工程师,国企,100-499人,2019-09-20 00:52:25,本科,软件/互联网开发/系统集成,3-5年,中烟物流技术有限责任公司,10K-15K,长沙,五险一金绩效奖金带薪年假
运维工程师,上市公司,10000人以上,2019-09-20 00:50:35,本科,IT运维/技术支持,1-3年,圆通速递有限公司,8K-12K,杭州-余杭区,五险一金带薪年假节日福利周末双休年底双薪
软件测试工程师（web方向）,民营,20人以下,2019-09-20 09:46:01,大专,IT质量管理/测试/配置管理,3-5年,上海蔚一信息技术有限公司,6K-10K,福州-仓山区,五险一金弹性工作定期体检员工旅游创业公司
gui软件开发工程师,民营,20-99人,2019-09-20 00:51:42,本科,软件/互联网开发/系统集成,3-5年,成都赢瑞科技有限公司,8K-12K,成都,五险一金定期体检带薪年假周末双休出国游
软件测试（上海浦东）,民营,500-999人,2019-09-20 14:43:16,本科,IT质量管理/测试/配置管理,1-3年,深圳市博悦科创科技有限公司,9K-12K,上海-浦东新区,周末双休节日福利五险一金员工旅游定期体检
群创光电2020届校园招募,外商独资,10000人以上,2019-09-20 00:50:09,本科,实习生/培训生/储备干部,无经验,宁波群志光电有限公司,5K-7K,宁波,免费班车定期体检节日福利加班补助五险一金
java开发工程师,民营,20-99人,2019-09-20 00:52:38,大专,软件/互联网开发/系统集成,1-3年,山东找伙伴互联网服务有限公司,6K-8K,聊城,五险一金包住餐补节日福利免费停车
电子研发工程师,民营,20-99人,2019-09-20 00:52:38,大专,硬件开发,1-3年,山东找伙伴互联网服务有限公司,6K-8K,聊城-东昌府区,五险一金包住餐补交通补助通讯补助
NLP自然语言处理工程师,上市公司,10000人以上,2019-09-20 00:50:33,硕士,软件/互联网开发/系统集成,3-5年,圆通速递有限公司,15K-25K,上海-青浦区,五险一金年底双薪绩效奖金包吃包住
高级运维工程师,代表处,20人以下,2019-09-20 00:52:16,大专,IT运维/技术支持,不限,北京亿达亚太科技有限公司,5K-8K,深圳,五险一金年终分红
软件测试工程师,上市公司,10000人以上,2019-09-20 00:50:34,本科,IT质量管理/测试/配置管理,3-5年,圆通速递有限公司,12K-24K,上海,每年多次调薪健身俱乐部绩效奖金五险一金年底双薪
测试（实习）,股份制企业,100-499人,2019-09-20 00:51:32,本科,IT质量管理/测试/配置管理,无经验,农信银资金清算中心有限责任公司,1K-2K,北京,餐补补充医疗保险定期体检全勤奖五险一金
少儿编程老师,股份制企业,20人以下,2019-09-20 00:52:15,大专,教育/培训,不限,济南澳腾文化传播有限公司,6K-8K,济南,五险一金绩效奖金全勤奖弹性工作带薪年假
量化分析师,民营,20人以下,2019-09-20 00:51:53,硕士,证券/期货/投资管理/服务,不限,谷科智投科技(深圳)有限公司,15K-30K,深圳,五险一金年底双薪绩效奖金带薪年假股票期权
医疗人工智能算法工程师,其它,20-99人,2019-09-20 00:51:02,硕士,互联网产品/运营管理,3-5年,中国科学院计算技术研究所天津分所暨天津中科物联网技术研究所,10K-20K,天津,五险一金房补餐补通讯补助交通补助
核心研发工程师（集中培训）,股份制企业,500-999人,2019-09-20 00:50:09,本科,软件/互联网开发/系统集成,1-3年,天津南大通用数据技术股份有限公司,薪资面议,天津-西青区,五险一金交通补助通讯补助节日福利周末双休
dba,民营,100-499人,2019-09-20 00:50:44,大专,IT运维/技术支持,3-5年,北京申朴信息技术有限公司,10K-15K,北京,节日福利五险一金带薪年假员工旅游加班补助
软件测试讲师 双休五险一金,民营,500-999人,2019-09-20 00:50:40,本科,IT质量管理/测试/配置管理,1-3年,成都迈锐特信息技术有限公司南京分公司,6K-8K,南京-秦淮区,五险一金年底双薪加班补助通讯补助弹性工作
移动端深度学习工程师,上市公司,10000人以上,2019-09-20 14:17:40,硕士,软件/互联网开发/系统集成,1-3年,碧桂园控股,薪资面议,佛山,带薪年假公司重点项目五险一金500强发展空间大
测试开发工程师,上市公司,10000人以上,2019-09-20 14:09:16,本科,IT质量管理/测试/配置管理,1-3年,碧桂园控股,薪资面议,佛山,带薪年假公司重点项目五险一金500强发展空间大
深度学习算法工程师,上市公司,10000人以上,2019-09-20 00:50:34,硕士,软件/互联网开发/系统集成,3-5年,圆通速递有限公司,15K-25K,上海-青浦区,五险一金年底双薪绩效奖金包吃包住
前端开发工程师,民营,100-499人,2019-09-20 00:51:52,大专,软件/互联网开发/系统集成,1-3年,辉氏科技有限公司,4K-6K,大连,五险一金加班补助包吃节日福利免费停车
数据分析专员,股份制企业,100-499人,2019-09-20 00:52:10,大专,销售行政/商务,1-3年,四川粤通医药有限公司,4K-6K,成都,节日福利绩效奖金出国游定期团建员工旅游
大数据开发工程师,上市公司,10000人以上,2019-09-20 00:50:34,本科,软件/互联网开发/系统集成,3-5年,圆通速递有限公司,15K-25K,上海-青浦区,五险一金年底双薪绩效奖金包吃包住
图像算法工程师,民营,100-499人,2019-09-20 00:51:51,本科,软件/互联网开发/系统集成,3-5年,深圳市联软科技股份有限公司,15K-20K,深圳-南山区,五险一金年底双薪绩效奖金年终分红交通补助
软件开发与项目管理（实习）,股份制企业,100-499人,2019-09-20 00:51:32,本科,软件/互联网开发/系统集成,无经验,农信银资金清算中心有限责任公司,1K-2K,北京,餐补补充医疗保险定期体检全勤奖五险一金
大数据-机器学习 研发科学家/工程师(生物医学方向),国企,20-99人,2019-09-20 00:50:09,硕士,生物/制药/医疗器械,1-3年,伯克利南京医学研究有限责任公司,6K-12K,南京,五险一金餐补免费班车节日福利全额公积金
软件测试工程师,民营,20-99人,2019-09-20 00:51:41,本科,IT质量管理/测试/配置管理,3-5年,成都赢瑞科技有限公司,6K-10K,成都,五险一金定期体检带薪年假周末双休带团队
数据分析师,外商独资,100-499人,2019-09-20 00:50:31,本科,咨询/顾问/调研/数据分析,1-3年,深圳索信达数据技术有限公司,15K-20K,北京-朝阳区,五险一金年底双薪加班补助带薪年假定期体检
高级测试工程师,民营,1000-9999人,2019-09-20 00:51:11,本科,IT质量管理/测试/配置管理,3-5年,居理新房,13K-16K,北京-东城区,创业公司五险一金节日福利员工旅游绩效奖金
前端工程师,股份制企业,500-999人,2019-09-20 00:51:00,大专,软件/互联网开发/系统集成,3-5年,上海锦江国际电子商务有限公司,15K-25K,上海-黄浦区,五险一金绩效奖金年终分红加班补助包吃
交通仿真开发工程师,民营,20-99人,2019-09-20 00:50:53,本科,软件/互联网开发/系统集成,1-3年,上海图丽信息技术有限公司,20K-25K,上海,五险一金带薪年假餐补周末双休年终奖金
助理研究员,民营,100-499人,2019-09-20 14:17:16,本科,软件/互联网开发/系统集成,1年以下,成都优艾维智能科技有限责任公司,4K-6K,成都-郫都区,五险一金加班补助带薪年假节日福利周末双休
前端开发工程师,外商独资,20-99人,2019-09-20 00:50:10,本科,软件/互联网开发/系统集成,无经验,特德营销咨询(北京)有限公司,6K-12K,南京,五险一金餐补通讯补助带薪年假补充医疗保险
OCR软件工程师,民营,100-499人,2019-09-20 00:51:19,本科,软件/互联网开发/系统集成,不限,合肥三高信息科技有限公司,8K-16K,合肥,五险一金带薪年假交通补助包住绩效奖金
