职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
AI人工智能/ 机器学习/算法/数据分析工程师,民营,100-499人,2019-09-20 09:09:08,大专,软件/互联网开发/系统集成,3-5年,浙江浙大网新中研软件有限公司,20K-40K,杭州,五险一金餐补带薪年假定期体检绩效奖金
人工智能标注训练师（NLP方向）,民营,100-499人,2019-09-20 09:55:47,本科,软件/互联网开发/系统集成,1-3年,北京无线天利移动信息技术有限公司上海分公司,10K-15K,上海-徐汇区,五险一金年底双薪绩效奖金餐补通讯补助
人工智能项目经理（NLP方向）,民营,100-499人,2019-09-20 09:55:47,本科,软件/互联网开发/系统集成,3-5年,北京无线天利移动信息技术有限公司上海分公司,15K-25K,上海-徐汇区,五险一金年底双薪绩效奖金餐补通讯补助
人工智能研究员SYD25,事业单位,1000-9999人,2019-09-20 09:18:30,硕士,软件/互联网开发/系统集成,不限,中国信息通信研究院,6K-8K,北京-海淀区,五险一金补充医疗保险年终分红房补餐补
人工智能研发工程师,国企,20-99人,2019-09-20 09:29:40,硕士,软件/互联网开发/系统集成,不限,山东中科先进技术研究院有限公司,10K-20K,济南,五险一金绩效奖金带团队周末双休公司重点项目
人工智能算法工程师,民营,20-99人,2019-09-20 09:15:17,本科,软件/互联网开发/系统集成,1-3年,吉林省天行健科技有限公司,6K-8K,长春,绩效奖金加班补助交通补助全勤奖带薪年假
知识库编辑（人工智能）-天津,民营,100-499人,2019-09-20 10:04:58,本科,影视/媒体/出版/印刷,不限,北京捷通华声科技股份有限公司,5K-8K,天津-东丽区,五险一金绩效奖金全勤奖餐补带薪年假
软件实施工程师（人工智能）,民营,100-499人,2019-09-20 09:31:55,本科,客服/售前/售后技术支持,不限,北京捷通华声科技股份有限公司,10K-20K,上海,周末双休五险一金绩效奖金每年多次调薪全勤奖
人工智能训练工程师,民营,100-499人,2019-09-19 16:47:08,本科,互联网产品/运营管理,不限,北京捷通华声科技股份有限公司,5K-8K,天津,周末双休五险一金每年多次调薪节日福利带薪年假
技术支持工程师（人工智能）,民营,100-499人,2019-09-20 12:10:29,本科,IT运维/技术支持,1-3年,北京捷通华声科技股份有限公司,8K-13K,长沙,五险一金绩效奖金每年多次调薪节日福利全勤奖
人工智能产品运营专干,民营,1000-9999人,2019-09-20 09:16:21,大专,项目管理/项目协调,1-3年,湖南竞网智赢网络技术有限公司,4K-7K,长沙-岳麓区,五险一金年底双薪年终分红带薪年假补充医疗保险
人工智能（AI）软件开发工程师,事业单位,1000-9999人,2019-09-18 19:46:47,学历不限,软件/互联网开发/系统集成,不限,中国电子科技集团公司第十五研究所,15K-25K,北京,交通补助餐补通讯补助采暖补贴带薪年假
校区服务专员（人工智能教育）,港澳台公司,1000-9999人,2019-09-19 19:15:43,大专,教育/培训,不限,纬创软件 (武汉),3K-4K,武汉-洪山区,每年多次调薪周末双休五险一金员工旅游年底双薪
人工智能实习生,其它,100-499人,2019-09-20 09:12:48,大专,软件/互联网开发/系统集成,无经验,西安雅卓电子智能科技有限公司,4K-6K,西安,五险一金年底双薪绩效奖金年终分红全勤奖
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,北京,五险一金带薪年假每年多次调薪周末双休年底双薪
人工智能实习生,其它,100-499人,2019-09-20 09:12:48,大专,软件/互联网开发/系统集成,无经验,西安雅卓电子智能科技有限公司,4K-6K,西安,五险一金年底双薪绩效奖金年终分红全勤奖
人工智能研发实习生,民营,20-99人,2019-09-20 09:29:57,大专,软件/互联网开发/系统集成,不限,无锡辰达网络科技有限公司,4K-6K,无锡,五险一金年底双薪绩效奖金年终分红补充医疗保险
人工智能算法工程师2-医学图像,民营,20-99人,2019-09-19 09:05:23,硕士,软件/互联网开发/系统集成,不限,生仝智能科技(北京)有限公司,15K-30K,北京,五险一金绩效奖金餐补定期体检弹性工作
UI设计+人工智能助理,民营,20-99人,2019-09-20 09:06:34,学历不限,艺术/设计,不限,大连星魅传媒有限公司,4K-6K,大连,周末双休五险一金年底双薪全勤奖带薪年假
