职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
研发软件工程师/研发工程师/开发工程师,民营,20-99人,2019-09-20 00:52:19,本科,软件/互联网开发/系统集成,3-5年,上海澳悦智能科技有限公司,15K-20K,上海,五险一金全额公积金周末双休
Android 开发,民营,20-99人,2019-09-20 00:51:36,本科,软件/互联网开发/系统集成,3-5年,西安源捷科技有限公司,6K-11K,西安,五险一金绩效奖金全勤奖员工旅游节日福利
中级java开发工程师,民营,500-999人,2019-09-20 00:52:59,本科,软件/互联网开发/系统集成,3-5年,上海艾融软件股份有限公司,10K-15K,广州-天河区,五险一金定期体检餐补员工旅游
报表开发工程师,民营,100-499人,2019-09-20 00:52:46,大专,软件/互联网开发/系统集成,1-3年,上海天正智能数据服务有限公司,8K-10K,杭州-拱墅区,五险一金年底双薪加班补助餐补带薪年假
大数据工程师,民营,20-99人,2019-09-20 00:52:18,本科,软件/互联网开发/系统集成,3-5年,广州衡昊数据科技有限公司,15K-30K,广州-黄埔区,五险一金股票期权餐补弹性工作定期体检
高级测试开发工程师,股份制企业,10000人以上,2019-09-20 00:50:46,本科,IT质量管理/测试/配置管理,5-10年,阳光财产保险股份有限公司3,18K-36K,北京,五险一金绩效奖金交通补助餐补通讯补助
高级Java开发工程师,民营,20-99人,2019-09-20 14:01:27,本科,软件/互联网开发/系统集成,3-5年,上海旻晓数据科技有限公司,15K-18K,上海,五险一金年底双薪绩效奖金年终分红
苏州-BI开发工程师,合资,500-999人,2019-09-20 00:50:42,本科,软件/互联网开发/系统集成,3-5年,盟拓软件(苏州)有限公司上海分公司,8K-13K,苏州,五险一金绩效奖金餐补节日福利带薪年假
JAVA开发工程师,民营,20-99人,2019-09-20 00:52:48,本科,软件/互联网开发/系统集成,1-3年,成都迈锐思科技有限公司绵阳分公司,5K-10K,绵阳,五险一金绩效奖金定期体检员工旅游节日福利
NET软件开发工程师,其它,20-99人,2019-09-20 00:52:18,大专,软件/互联网开发/系统集成,1-3年,广西顶航信息产业股份有限公司,8K-10K,南宁,年底双薪全勤奖加班补助餐补交通补助
JAVA开发工程师,民营,20-99人,2019-09-20 00:50:01,本科,软件/互联网开发/系统集成,3-5年,湖南汉德史特仪表有限公司,6K-12K,长沙,餐补绩效奖金通讯补助周末双休创业公司
前端开发工程师,其它,不限,2019-09-20 00:50:41,大专,软件/互联网开发/系统集成,1-3年,福州宁沁信息科技有限公司,5K-7K,福州,五险一金绩效奖金周末双休项目奖金
嵌入式开发工程师,民营,100-499人,2019-09-20 00:50:30,本科,硬件开发,3-5年,青岛众瑞智能仪器有限公司,9K-15K,青岛,五险一金全勤奖交通补助餐补通讯补助
数据工程师_南京,民营,500-999人,2019-09-20 00:52:44,本科,软件/互联网开发/系统集成,3-5年,上海得逸信息技术有限公司,13K-16K,南京-建邺区,五险一金弹性工作带薪年假定期体检员工旅游
C语言开发工程师,国企,20-99人,2019-09-20 00:52:02,本科,软件/互联网开发/系统集成,不限,上饶中电海康智慧城市研究院有限公司,5K-10K,上饶,创业公司五险一金带薪年假节日福利年底双薪
c#开发工程师（PC）,民营,20-99人,2019-09-20 00:50:21,大专,软件/互联网开发/系统集成,不限,常州摩通机器人科技有限公司,4K-6K,常州,五险一金加班补助全勤奖
