职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
投资顾问/经理/理财顾问,民营,1000-9999人,2019-09-20 14:18:03,大专,销售业务,不限,麦田房产,10K-15K,北京,五险一金定期体检带薪年假员工旅游每年多次调薪
投资管理部投资经理,民营,20-99人,2019-09-20 14:18:20,硕士,证券/期货/投资管理/服务,1-3年,山西方胜人力资源服务有限公司,20K-30K,太原,五险一金带薪年假定期体检节日福利周末双休
保险客户经理+保险售后经理+保险投资经理,不限,100-499人,2019-09-20 09:58:12,大专,保险,1-3年,中国人寿保险股份有限公司成都市武侯区支公司,10K-15K,成都-武侯区,
投资经理,民营,20-99人,2019-09-20 12:31:01,硕士,证券/期货/投资管理/服务,1-3年,四川众和春秋实业有限责任公司,5K-6K,成都,五险一金绩效奖金年终分红带薪年假周末双休
高级投资经理,民营,20-99人,2019-09-20 09:25:19,硕士,证券/期货/投资管理/服务,1-3年,浙江华睿控股有限公司,10K-12K,杭州,五险一金年底双薪绩效奖金包吃带薪年假
中国平安保险、银行、投资综合金融客户经理,上市公司,10000人以上,2019-09-20 14:22:03,大专,销售管理,不限,中国平安人寿保险股份有限公司湖北省直属第十一营销服务部,15K-20K,武汉,全勤奖周末双休员工旅游节日福利绩效奖金
投资经理,民营,20人以下,2019-09-20 09:49:27,本科,证券/期货/投资管理/服务,1-3年,北京正唐嘉业投资管理有限公司,10K-15K,北京,五险一金带薪年假定期体检节日福利
投资顾问产品经理（和平区）,上市公司,100-499人,2019-09-20 14:36:03,本科,证券/期货/投资管理/服务,1-3年,国信证券股份有限公司天津分公司,8K-12K,天津-和平区,五险一金周末双休绩效奖金节日福利定期体检
投资/银行/保险/综合金融经理,股份制企业,1000-9999人,2019-09-20 14:25:22,学历不限,保险,1-3年,中国平安人寿保险股份有限公司河南分公司营销客户部,8K-10K,郑州,弹性工作五险一金绩效奖金年终分红出国游
PE投资经理,民营,1000-9999人,2019-09-20 14:24:02,硕士,证券/期货/投资管理/服务,5-10年,四川峨胜水泥集团股份有限公司,30K-40K,成都,五险一金内外培训
金融投资经理,民营,不限,2019-09-20 13:12:51,大专,财务/审计/税务,不限,北京博锐鑫诚科技有限公司,10K-15K,北京,五险一金年底双薪年终分红房补定期体检
保险、银行、投资、金融客户经理,股份制企业,10000人以上,2019-09-20 13:44:01,大专,人力资源,不限,中国平安人寿保险股份有限公司四川分公司金融科技部,8K-10K,成都,
债券投资经理 交通便利 六日双休,股份制企业,500-999人,2019-09-20 11:08:23,大专,证券/期货/投资管理/服务,3-5年,北京荣乾兴茂科技有限公司,10K-15K,北京-朝阳区,弹性工作周末双休全勤奖节日福利五险一金
投资经理,国企,1000-9999人,2019-09-20 09:28:24,本科,证券/期货/投资管理/服务,不限,华福证券有限责任公司浙江分公司,4K-6K,杭州,
投资经理（健康产业）,民营,20-99人,2019-09-20 09:15:23,硕士,证券/期货/投资管理/服务,5-10年,成都盈创动力投资管理有限公司,6K-12K,成都,五险一金绩效奖金餐补通讯补助带薪年假
投资经理/金融产品经理/销售顾问/资产管理,民营,100-499人,2019-09-20 09:58:22,学历不限,证券/期货/投资管理/服务,不限,上海置善资产管理有限公司,6K-8K,成都-锦江区,五险一金周末双休年终分红绩效奖金年底双薪
权益投资部负责人兼投资经理,其它,20-99人,2019-09-20 14:09:11,硕士,证券/期货/投资管理/服务,5-10年,英大保险资产管理有限公司,50K-80K,北京,五险二金绩效奖金餐补带薪年假定期体检
组合管理部资管产品投资经理兼资产配置岗,其它,20-99人,2019-09-20 14:03:22,硕士,证券/期货/投资管理/服务,3-5年,英大保险资产管理有限公司,15K-30K,北京,五险二金绩效奖金餐补带薪年假定期体检
银行、金融、投资、理财客户经理,上市公司,10000人以上,2019-09-20 14:02:17,大专,销售管理,不限,中国平安人寿保险股份有限公司四川分公司璀璨精英部,8K-10K,成都,弹性工作补充医疗保险定期体检创业公司节日福利
投资经理,民营,20-99人,2019-09-20 14:18:19,大专,证券/期货/投资管理/服务,不限,深圳前海德云资产管理有限公司,6K-8K,深圳,五险一金绩效奖金年终分红员工旅游节日福利
FOF投资经理,民营,20-99人,2019-09-20 11:49:02,本科,证券/期货/投资管理/服务,3-5年,浙江永禧投资管理有限公司,10K-15K,杭州-拱墅区,五险一金绩效奖金餐补通讯补助带薪年假
投资经理（证券类）,民营,20-99人,2019-09-20 14:07:18,本科,证券/期货/投资管理/服务,3-5年,普祐投资有限公司,2K-4K,北京,五险一金
高级投资经理,国企,1000-9999人,2019-09-20 09:38:12,本科,证券/期货/投资管理/服务,不限,华福证券有限责任公司广东分公司,10K-15K,广州,五险一金绩效奖金带薪年假定期体检加班补助
大宗交易高级投资经理/高级投资经理/大客户销售经理,民营,20人以下,2019-09-20 09:37:51,大专,销售业务,1-3年,上海拓翔投资管理有限公司,10K-15K,上海,五险一金绩效奖金全勤奖节日福利出国游
郫县中国平安保险银行、投资、金融客户经理,股份制企业,不限,2019-09-20 13:41:05,大专,IT运维/技术支持,不限,中国平安人寿保险股份有限公司四川分公司光良部,10K-15K,成都-郫都区,绩效奖金年终分红弹性工作节日福利员工旅游
投资经理,国企,1000-9999人,2019-09-20 09:37:58,本科,证券/期货/投资管理/服务,不限,华福证券有限责任公司广东分公司,6K-8K,广州,五险一金绩效奖金带薪年假定期体检加班补助
融资经理（私募股权投资基金募集岗）,民营,20-99人,2019-09-20 14:14:03,本科,证券/期货/投资管理/服务,3-5年,北京恒盛融通投资管理有限公司,10K-20K,北京-海淀区,每年多次调薪交通补助通讯补助带薪年假弹性工作
投资经理,民营,1000-9999人,2019-09-20 10:55:24,本科,证券/期货/投资管理/服务,1-3年,鸿星尔克(厦门)投资管理有限公司,8K-10K,厦门,五险一金自助午餐定期体检节日福利周末双休
中国平安投资/银行/保险/综合金融经理,股份制企业,1000-9999人,2019-09-20 14:25:09,学历不限,保险,不限,中国平安人寿保险股份有限公司河南分公司营销客户部,8K-10K,郑州-新郑市,弹性工作五险一金绩效奖金年终分红出国游
证券投资客户经理,国企,1000-9999人,2019-09-20 13:47:07,大专,证券/期货/投资管理/服务,1年以下,东莞证券股份有限公司西安高新四路证券营业部,2K-4K,西安,周末双休绩效奖金五险一金定期体检员工旅游
机构投资运营总经理,上市公司,1000-9999人,2019-09-20 14:13:15,大专,项目管理/项目协调,5-10年,新华人寿保险股份有限公司西安市长安路支公司绩优部,20K-30K,西安,绩效奖金年终分红全勤奖补充医疗保险每年多次调薪
投资经理（含普通、资深、VIP）,合资,1000-9999人,2019-09-20 09:22:18,本科,证券/期货/投资管理/服务,不限,中国中投证券有限责任公司珠海水湾路证券营业部,8K-16K,珠海,五险一金带薪年假补充医疗保险定期体检绩效奖金
证券投资经理,民营,100-499人,2019-09-20 09:46:01,本科,律师/法务/合规,3-5年,上海德必文化创意产业发展(集团)股份有限公司,20K-30K,上海-长宁区,五险一金带薪年假绩效奖金餐补全勤奖
证券/投资客户经理,上市公司,1000-9999人,2019-09-20 13:12:38,大专,证券/期货/投资管理/服务,无经验,中国平安人寿保险股份有限公司成都市青羊支公司第一营销服务部骁英团队,10K-15K,成都,五险一金周末双休年终分红绩效奖金全勤奖
投资经理（客户经理）,国企,1000-9999人,2019-09-20 14:10:19,本科,销售管理,不限,华福证券有限责任公司浙江分公司,3K-5K,杭州,五险一金绩效奖金交通补助餐补通讯补助
高级投资经理,民营,20-99人,2019-09-20 15:04:02,本科,销售业务,3-5年,青岛万腾投资有限公司,8K-10K,青岛,五险一金周末双休法定休假节日福利带薪年假
风险总监/经理（投融资方向）,股份制企业,500-999人,2019-09-20 14:23:32,本科,银行,5-10年,深圳市滨海基金管理有限公司,20K-40K,广州-天河区,五险一金节日福利带薪年假带团队周末双休
投资部经理,民营,1000-9999人,2019-09-20 14:40:01,本科,证券/期货/投资管理/服务,5-10年,江西省电子集团有限公司,10K-20K,南昌-南昌高新区,餐补
投资经理,民营,100-499人,2019-09-20 09:26:24,本科,市场,3-5年,湖南惟创环境科技有限公司,8K-15K,长沙,绩效奖金交通补助通讯补助定期体检员工旅游
无责任底薪5千--8千  投资理财经理 ,民营,20-99人,2019-09-20 12:46:02,学历不限,销售业务,不限,昆明盛大金禧经济信息咨询有限公司盘龙分公司,6K-8K,昆明,五险一金全勤奖餐补带薪年假节日福利
投资总监及高级投资经理,股份制企业,100-499人,2019-09-20 09:13:18,本科,证券/期货/投资管理/服务,3-5年,山东泰源股权投资基金有限公司,15K-20K,临沂,五险一金员工旅游带薪年假节日福利交通补助
金融/证券/投资客户经理,股份制企业,500-999人,2019-09-20 14:21:38,大专,证券/期货/投资管理/服务,不限,招商证券股份有限公司深圳东门南路证券营业部,6K-8K,深圳-罗湖区,住房补贴无试用期绩效奖金房补弹性工作
高级投资经理,国企,10000人以上,2019-09-20 14:34:02,本科,证券/期货/投资管理/服务,1-3年,中国中投证券有限责任公司北京富丰路证券营业部,9K-18K,北京,五险一金周末双休绩效奖金补充医疗保险采暖补贴
投资经理,国企,1000-9999人,2019-09-20 10:36:12,本科,银行,5-10年,中国中投证券有限责任公司天津解放南路证券营业部,10K-20K,天津,五险一金补充医疗保险带薪年假绩效奖金定期体检
高级投资经理,民营,20人以下,2019-09-20 09:49:27,本科,证券/期货/投资管理/服务,3-5年,北京正唐嘉业投资管理有限公司,10K-20K,北京,五险一金带薪年假定期体检节日福利
投资经理,上市公司,1000-9999人,2019-09-20 13:55:38,硕士,证券/期货/投资管理/服务,5-10年,多伦科技股份有限公司,10K-20K,南京,五险一金带薪年假定期体检免费班车节日福利
平安诚聘 银行、保险、投资、综合客户经理,上市公司,10000人以上,2019-09-20 13:07:02,大专,销售管理,1-3年,中国平安人寿保险股份有限公司陕西分公司国鹏团队,5K-10K,西安,绩效奖金全勤奖补充医疗保险五险一金弹性工作
投资经理,民营,20-99人,2019-09-20 14:11:37,大专,证券/期货/投资管理/服务,1-3年,上海格创资产管理有限公司,10K-15K,深圳-福田区,五险一金绩效奖金年终分红节日福利不加班
综合金融销售精英主管+客户经理+资深投资人,上市公司,1000-9999人,2019-09-20 11:39:37,大专,销售管理,1-3年,中国平安人寿保险股份有限公司四川分公司精英队,10K-15K,成都-龙泉驿区,
投资经理,民营,10000人以上,2019-09-20 14:25:27,本科,证券/期货/投资管理/服务,3-5年,新红阳投资控股有限责任公司,8K-10K,重庆,五险一金绩效奖金公司重点项目周末双休交通补助
投资经理,国企,1000-9999人,2019-09-20 14:11:31,大专,证券/期货/投资管理/服务,1-3年,华福证券有限责任公司天津友谊南路证券营业部,3K-6K,天津-河西区,
投资经理,民营,20-99人,2019-09-20 14:23:20,硕士,证券/期货/投资管理/服务,5-10年,中原创新投资控股有限公司,10K-20K,郑州,五险一金绩效奖金
股票量化部   投资经理（ 月薪8000-15000 + 绩效 ）,民营,20-99人,2019-09-20 14:41:51,本科,软件/互联网开发/系统集成,不限,武汉传奇投资有限公司,8K-16K,武汉,五险一金绩效奖金包吃包住定期体检
投资经理,民营,20-99人,2019-09-20 14:26:06,本科,证券/期货/投资管理/服务,1-3年,天津澍山投资有限公司,6K-10K,天津,五险一金餐补带薪年假定期体检周末双休
投资风控经理,合资,500-999人,2019-09-20 10:35:11,大专,证券/期货/投资管理/服务,1年以下,北京融汇天诚投资管理有限公司,15K-20K,北京,五险一金年底双薪绩效奖金弹性工作带薪年假
投资拓展总监/高级经理,国企,100-499人,2019-09-20 13:08:45,本科,市场,5-10年,中农联控股有限公司,20K-30K,北京,绩效奖金年终分红带薪年假交通补助员工旅游
中国平安综合金融销售经理、投资顾问,股份制企业,10000人以上,2019-09-20 12:27:13,大专,高级管理,3-5年,中国平安人寿保险股份有限公司河南分公司优才总部,30K-50K,郑州,五险一金绩效奖金全勤奖员工旅游不加班
投资经理,民营,20-99人,2019-09-20 13:55:30,硕士,证券/期货/投资管理/服务,不限,湖南天玥科技有限公司,8K-15K,长沙,五险一金股票期权交通补助包吃通讯补助
投资经理,民营,不限,2019-09-20 14:27:23,大专,证券/期货/投资管理/服务,不限,杭州小盟资产管理有限公司,4K-8K,杭州,五险一金绩效奖金周末双休
证券公司客户经理/投资经理,股份制企业,10000人以上,2019-09-20 12:15:02,本科,证券/期货/投资管理/服务,不限,广发证券股份有限公司上海新松江路证券营业部,4K-8K,上海-松江区,五险一金绩效奖金交通补助带薪年假定期体检
信用卡销售代表+投资管理+客户经理,上市公司,1000-9999人,2019-09-20 06:35:01,大专,银行,1-3年,中国平安人寿保险股份有限公司四川分公司智胜部,10K-15K,成都-龙泉驿区,
投资经理,民营,20-99人,2019-09-20 14:23:09,本科,证券/期货/投资管理/服务,3-5年,北京岸谷速达资产管理有限公司,10K-15K,北京,创业公司每年多次调薪带薪年假员工旅游定期体检
投资经理/分析师,上市公司,20-99人,2019-09-20 14:03:24,本科,证券/期货/投资管理/服务,1-3年,北京雷石原点集团股份有限公司,10K-15K,北京,五险一金年底双薪带薪年假补充医疗保险定期体检
信用卡销售代表+投资管理+客户经理,上市公司,1000-9999人,2019-09-20 09:33:08,大专,银行,1-3年,中国平安人寿保险股份有限公司四川分公司鸿运团队,10K-15K,成都-龙泉驿区,
贷款、投资、融资、证券经理人双休,股份制企业,10000人以上,2019-09-20 09:06:12,大专,证券/期货/投资管理/服务,不限,中国平安人寿保险股份有限公司河南分公司菁英优才团队,20K-30K,郑州,五险一金绩效奖金全勤奖补充医疗保险节日福利
投资经理,民营,20-99人,2019-09-20 14:27:24,本科,证券/期货/投资管理/服务,3-5年,北京智德盛投资顾问有限公司,15K-25K,北京,五险一金年底双薪绩效奖金补充医疗保险带薪年假
医药投资经理,国企,20-99人,2019-09-20 09:23:10,硕士,证券/期货/投资管理/服务,3-5年,人保远望产业投资管理有限公司,20K-30K,北京-海淀区,五险一金绩效奖金餐补采暖补贴带薪年假
投资经理（应届毕业生优先）,国企,20-99人,2019-09-20 14:10:12,本科,证券/期货/投资管理/服务,不限,华福证券有限责任公司重庆分公司,4K-6K,重庆,五险一金交通补助通讯补助补充医疗保险高温补贴
方正证券商丘文化路证券营业部现招聘投资顾问、客户经理等职位,股份制企业,1000-9999人,2019-09-20 14:09:28,大专,证券/期货/投资管理/服务,不限,方正证券股份有限公司,4K-8K,商丘-梁园区,五险一金绩效奖金节日福利周末双休定期体检
投资发展部部门经理/投资分析主管,国企,20-99人,2019-09-20 11:20:02,本科,其他,3-5年,四川省物流股份投资有限公司,8K-16K,成都-成华区,五险一金绩效奖金交通补助带薪年假定期体检
中国平安 保险 银行 投资综合金融销售经理,股份制企业,10000人以上,2019-09-20 10:56:51,大专,销售管理,1-3年,中国平安人寿保险股份有限公司河南分公司静凇团队,8K-10K,郑州,周末双休年终分红绩效奖金节日福利不加班
投资经理,民营,20-99人,2019-09-20 14:25:02,本科,证券/期货/投资管理/服务,3-5年,河南金恩投资有限公司,8K-10K,郑州-郑东新区 ,五险一金年底双薪加班补助带薪年假定期体检
投资经理,民营,20-99人,2019-09-20 15:00:27,硕士,证券/期货/投资管理/服务,不限,河北省嘉联实业集团有限公司,6K-8K,石家庄-桥西区,五险一金绩效奖金交通补助餐补通讯补助
投资经理,股份制企业,1000-9999人,2019-09-20 14:18:31,本科,证券/期货/投资管理/服务,1-3年,深圳联泰股权投资基金管理有限公司,15K-25K,深圳,五险一金绩效奖金通讯补助员工旅游周末双休
投资高级经理（投前）,国企,500-999人,2019-09-20 14:02:40,硕士,证券/期货/投资管理/服务,5-10年,北京北大科技园建设开发有限公司,20K-30K,北京-海淀区,五险一金交通补助餐补带薪年假定期体检
客户经理/证券经纪人/证券投资顾问,上市公司,10000人以上,2019-09-20 14:19:35,大专,证券/期货/投资管理/服务,无经验,招商证券股份有限公司深圳蛇口工业三路证券营业部,6K-8K,深圳-南山区,五险一金绩效奖金交通补助带薪年假弹性工作
投资经理,民营,500-999人,2019-09-20 13:11:13,本科,房地产开发/经纪/中介,无经验,上海丽兹行房地产经纪有限公司SH-Y10,10K-15K,上海,六险一金绩效奖金每年多次调薪国内外旅游学历补贴
高级投资理财经理（公司分配客户）,民营,500-999人,2019-09-20 10:19:04,大专,证券/期货/投资管理/服务,3-5年,深圳市金斧子网络科技有限公司,8K-10K,无锡-梁溪区,五险一金绩效奖金定期体检带薪年假
投资经理,民营,20-99人,2019-09-20 15:00:25,大专,证券/期货/投资管理/服务,1-3年,广东疯蜜财商教育科技有限公司,8K-10K,广州,周末双休五险一金加班补助全勤奖交通补助
中国平安 保险 银行 投资综合金融销售经理（底薪1万7+双休）,上市公司,10000人以上,2019-09-20 10:16:03,本科,销售管理,不限,中国平安人寿保险股份有限公司河南分公司营销本部,20K-30K,郑州,周末双休补充医疗保险每年多次调薪绩效奖金节日福利
中国平安投资/银行/保险/综合金融经理,上市公司,10000人以上,2019-09-20 10:13:03,大专,销售管理,不限,中国平安人寿保险股份有限公司河南分公司营销本部,10K-15K,郑州,周末双休补充医疗保险每年多次调薪绩效奖金节日福利
投资风控经理,国企,100-499人,2019-09-20 13:53:31,本科,证券/期货/投资管理/服务,3-5年,北京启迪清云能源科技有限公司,8K-12K,北京-海淀区,五险一金年底双薪交通补助餐补通讯补助
综合金融销售经理（银行+保险+投资+房地产)双休【底薪5400】,国企,10000人以上,2019-09-20 11:17:50,大专,销售业务,不限,中国平安人寿保险股份有限公司广州市天河支公司冯洁欣,10K-15K,广州,绩效奖金弹性工作补充医疗保险定期体检员工旅游
投资经理,民营,1000-9999人,2019-09-20 14:15:02,本科,证券/期货/投资管理/服务,3-5年,国商百荣(北京)科技有限公司,20K-30K,北京,
投资并购经理,民营,20-99人,2019-09-20 09:11:39,本科,证券/期货/投资管理/服务,不限,广州天使投资有限公司,8K-10K,广州,绩效奖金带薪年假员工旅游周末双休项目奖金
投资经理,国企,100-499人,2019-09-20 14:11:29,本科,房地产开发/经纪/中介,3-5年,中建地产（天津）有限公司,10K-15K,重庆-江津区,五险一金通讯补助定期体检带薪年假
并购投资经理,民营,20人以下,2019-09-20 13:09:20,本科,证券/期货/投资管理/服务,3-5年,上海沫卡投资管理有限公司,15K-30K,上海,周末双休五险一金绩效奖金带薪年假员工旅游
投资经理,民营,20-99人,2019-09-20 13:37:04,本科,证券/期货/投资管理/服务,1-3年,中财融商(北京)资本管理有限公司,6K-8K,成都,五险一金绩效奖金节日福利
投资拓展经理（信阳、南阳城市公司）,民营,500-999人,2019-09-20 09:54:00,本科,房地产开发/经纪/中介,3-5年,同信地产集团有限公司,15K-20K,信阳,五险一金周末双休节日福利年底双薪员工旅游
理财经理/投资顾问（在编岗）--南山区,国企,1000-9999人,2019-09-20 09:54:06,本科,银行,1-3年,安信证券股份有限公司深圳沙头角证券营业部,8K-15K,深圳,五险一金绩效奖金带薪年假定期体检员工旅游
投资部总经理,民营,100-499人,2019-09-20 09:11:08,本科,高级管理,5-10年,大众美好创业投资有限公司,20K-40K,石家庄,创业公司周末双休五险一金绩效奖金交通补助
招商经理(投资顾问）,民营,100-499人,2019-09-20 09:47:10,学历不限,销售业务,不限,山东佰业环保科技集团有限公司,10K-15K,济南,五险一金年底双薪绩效奖金加班补助带薪年假
资深投资经理,国企,1000-9999人,2019-09-20 14:25:08,本科,证券/期货/投资管理/服务,1-3年,中国中投证券有限责任公司,11K-16K,海口,五险一金绩效奖金年终分红定期体检补充医疗保险
底薪5k 银行投资综合金融客户经理（平安保险 双休）,民营,100-499人,2019-09-20 09:40:48,大专,销售管理,1-3年,平安保险代理有限公司湖北分公司营销服务部,10K-15K,武汉,周末双休补充医疗保险定期体检带团队出国游
投资经理,国企,20人以下,2019-09-20 14:23:05,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,常州,五险一金绩效奖金餐补高温补贴
投资经理（并购方向）,股份制企业,20-99人,2019-09-20 09:49:03,本科,项目管理/项目协调,1-3年,北京欧文共享文化发展有限公司,8K-15K,北京-朝阳区,五险一金
国正公司-投资经理岗,国企,1000-9999人,2019-09-20 14:21:25,硕士,证券/期货/投资管理/服务,3-5年,合肥市产业投资控股(集团)有限公司,薪资面议,合肥,
投资/综合金融经理,国企,10000人以上,2019-09-20 09:36:42,大专,证券/期货/投资管理/服务,1-3年,中国平安人寿保险股份有限公司河南分公司优才服务管理部,8K-10K,郑州,周末双休绩效奖金补充医疗保险带薪年假每年多次调薪
投资经理,国企,20人以下,2019-09-20 14:20:21,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,无锡,五险一金绩效奖金餐补高温补贴
投资经理,国企,20人以下,2019-09-20 14:18:14,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,南京,五险一金绩效奖金餐补高温补贴
投资经理,民营,100-499人,2019-09-20 14:16:44,大专,证券/期货/投资管理/服务,5-10年,江苏永嘉投资控股集团有限公司,4K-8K,徐州,餐补定期体检节日福利五险一金通讯补助
产业投资经理,国企,500-999人,2019-09-20 14:15:17,学历不限,项目管理/项目协调,不限,上海机动车检测认证技术研究中心有限公司,10K-15K,上海-嘉定区,五险一金加班补助交通补助餐补补充医疗保险
合肥市创新科技风险投资有限公司—投资经理,国企,1000-9999人,2019-09-20 14:15:05,硕士,证券/期货/投资管理/服务,不限,合肥市产业投资控股(集团)有限公司,薪资面议,合肥-高新区,五险一金交通补助餐补绩效奖金通讯补助
投资经理,国企,20人以下,2019-09-20 14:14:06,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,苏州,五险一金绩效奖金餐补高温补贴
投资经理/投资顾问+周末双休,股份制企业,10000人以上,2019-09-19 00:51:38,本科,证券/期货/投资管理/服务,1-3年,中国平安人寿保险股份有限公司湖南分公司天心区售后服务部,8K-10K,长沙,全勤奖定期团建周末双休补充医疗保险弹性工作
投资经理,国企,20人以下,2019-09-20 14:13:10,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,张家港,五险一金绩效奖金餐补高温补贴
投融资副总经理,外商独资,1000-9999人,2019-09-20 13:50:34,本科,财务/审计/税务,10年以上,合生创展集团有限公司,70K-100K,北京,
投资经理,国企,20人以下,2019-09-20 14:10:20,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,泰州,五险一金绩效奖金餐补高温补贴
投资经理,国企,20人以下,2019-09-20 14:10:36,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,南通,五险一金绩效奖金餐补高温补贴
【年薪30万起】高端销售经理/市场投资顾问,民营,500-999人,2019-09-19 18:26:59,本科,销售业务,不限,上海丽兹行房地产经纪有限公司SH-Z3,8K-10K,上海,带薪年假六险一金试用期全额出国游定期团建
投资经理,国企,20人以下,2019-09-20 14:07:08,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,扬州,五险一金绩效奖金餐补高温补贴
招商投资经理,民营,20-99人,2019-09-20 14:07:12,本科,销售业务,1-3年,德克控股(深圳)有限公司,8K-10K,深圳-宝安区,餐补创业公司五险一金绩效奖金房补
二级市场投资经理,民营,20-99人,2019-09-20 11:04:25,本科,证券/期货/投资管理/服务,1-3年,济南泓杰私募(投资)基金管理有限公司,6K-12K,济南,五险一金绩效奖金年终分红带薪年假通讯补助
投资经理,国企,20人以下,2019-09-20 14:05:09,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,徐州,五险一金绩效奖金餐补高温补贴
投资经理,合资,20-99人,2019-09-20 10:33:32,硕士,证券/期货/投资管理/服务,3-5年,广俊粤港澳产业投资基金管理(广州)有限公司,7.5K-15K,广州,五险一金餐补绩效奖金定期体检周末双休
投资经理,国企,1000-9999人,2019-09-20 12:07:26,本科,证券/期货/投资管理/服务,5-10年,中建国际工程有限公司南昌分公司,30K-50K,南昌,五险一金带薪年假绩效奖金包吃通讯补助
高级投资经理,国企,1000-9999人,2019-09-20 14:03:18,本科,证券/期货/投资管理/服务,不限,中国中投证券有限责任公司,4.5K-8.5K,海口,五险一金绩效奖金年终分红定期体检补充医疗保险
投资经理,国企,20人以下,2019-09-20 14:02:22,本科,证券/期货/投资管理/服务,5-10年,广西汇京宁新兴产业投资管理有限公司,13K-20K,南宁,五险一金绩效奖金通讯补助带薪年假定期体检
投资经理,国企,20人以下,2019-09-20 14:02:20,本科,证券/期货/投资管理/服务,3-5年,泰州中国医药城新药基金管理有限公司,8K-15K,盐城,五险一金绩效奖金餐补高温补贴
投资经理,民营,100-499人,2019-09-20 14:02:20,硕士,证券/期货/投资管理/服务,5-10年,江苏宇和商业管理有限公司,15K-25K,南京-建邺区,五险一金全勤奖员工旅游周末双休餐补
投资客户经理,民营,500-999人,2019-09-20 09:13:33,学历不限,证券/期货/投资管理/服务,不限,上海慧计信息技术有限公司,12K-15K,上海,五险一金绩效奖金带薪年假定期体检节日福利
投资经理\客户经理\理财顾问,国企,100-499人,2019-09-20 10:49:13,大专,证券/期货/投资管理/服务,不限,中国银河证券股份有限公司福州证券营业部,6K-12K,福州,五险一金绩效奖金交通补助通讯补助带薪年假
