职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
视觉设计UI平面设计师助理,民营,100-499人,2019-09-20 14:38:52,学历不限,软件/互联网开发/系统集成,无经验,郑州善撰软件科技有限公司,4K-6K,郑州,周末双休五险一金全勤奖弹性工作带薪年假
初级UI设计师,民营,100-499人,2019-09-20 10:36:35,大专,软件/互联网开发/系统集成,不限,北京中科恒业科技有限公司,5K-7K,北京-海淀区,餐补带薪年假
UI设计师实习生,民营,20-99人,2019-09-20 13:54:27,大专,软件/互联网开发/系统集成,无经验,河南滔米智能科技有限公司,2K-4K,郑州,绩效奖金交通补助通讯补助五险一金节日福利
UI设计师 实习生,民营,20-99人,2019-09-20 09:25:26,学历不限,软件/互联网开发/系统集成,无经验,天津启航梦想企业孵化器有限公司,4K-6K,天津,周末双休五险一金年底双薪绩效奖金全勤奖
UI设计师,民营,100-499人,2019-09-20 11:11:57,大专,软件/互联网开发/系统集成,1-3年,江苏彩云慧谷信息技术有限公司,5K-8K,南京,五险一金周末双休弹性工作
数据大屏UI设计师,股份制企业,1000-9999人,2019-09-20 14:16:41,本科,软件/互联网开发/系统集成,3-5年,深圳市德科信息技术有限公司杭州分公司,10K-15K,杭州-余杭区,五险一金周末双休节日福利绩效奖金带薪年假
UI设计师助理,民营,100-499人,2019-09-20 09:00:46,学历不限,软件/互联网开发/系统集成,无经验,天津星光场文化传播有限公司,4K-6K,天津,全勤奖不加班包住包吃周末双休
UI设计师,事业单位,100-499人,2019-09-20 14:19:13,本科,艺术/设计,1-3年,北京中科盘古科技发展有限公司,6K-8K,北京,五险一金年底双薪绩效奖金全勤奖餐补
ui设计师实习生,民营,不限,2019-09-20 09:09:06,中专,软件/互联网开发/系统集成,不限,广州北珠联科技有限公司,6K-8K,成都,五险一金绩效奖金全勤奖带薪年假包吃
UI设计师,国企,100-499人,2019-09-20 14:19:13,大专,软件/互联网开发/系统集成,1-3年,交科院科技集团有限公司,8K-12K,北京,周末双休五险一金绩效奖金餐补带薪年假
ui设计师,民营,100-499人,2019-09-20 14:17:27,本科,软件/互联网开发/系统集成,3-5年,上海司百袖信息技术有限公司,10K-15K,上海-黄浦区,五险一金绩效奖金带薪年假员工旅游高温补贴
UI界面设计师,民营,100-499人,2019-09-20 00:52:54,大专,软件/互联网开发/系统集成,1-3年,河北光之翼信息技术股份有限公司,4K-5K,石家庄,五险一金节日福利带薪年假周末双休
 初级UI交互设计师,股份制企业,1000-9999人,2019-09-20 13:16:20,大专,软件/互联网开发/系统集成,不限,大连东软软件人才培训中心,4K-6K,大连,五险一金年底双薪通讯补助免费班车定期体检
ui设计师助理,民营,不限,2019-09-20 09:09:07,中专,软件/互联网开发/系统集成,不限,广州北珠联科技有限公司,6K-8K,成都,五险一金绩效奖金全勤奖带薪年假包吃
ui设计师助理可实习,民营,20-99人,2019-09-20 14:15:45,学历不限,艺术/设计,不限,许昌智熠网络科技有限公司,4K-6K,许昌,五险一金年底双薪通讯补助交通补助周末双休
ui设计师,民营,20-99人,2019-09-20 14:14:15,本科,软件/互联网开发/系统集成,不限,中科同创网络科技股份有限公司,8K-12K,宁波,五险一金年底双薪绩效奖金定期体检创业公司
