职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
web前端工程师,民营,20-99人,2019-09-20 00:50:38,本科,软件/互联网开发/系统集成,3-5年,无锡开来帝森科技有限公司,8K-10K,无锡,五险一金餐补绩效奖金周末双休
web前端高级工程师,民营,20-99人,2019-09-20 11:27:33,本科,软件/互联网开发/系统集成,5-10年,上海芯与网络科技有限公司,10K-20K,上海,五险一金绩效奖金加班补助弹性工作带薪年假
Web前端工程师,民营,20人以下,2019-09-20 00:51:59,本科,软件/互联网开发/系统集成,1-3年,青岛一图环视信息技术有限公司,5K-8K,青岛-青岛高新技术产业开发区,节日福利五险一金加班补助餐补带薪年假
web前端工程师双休补贴10K+,民营,不限,2019-09-20 11:16:03,大专,软件/互联网开发/系统集成,1-3年,西安人瑞人力资源服务有限公司,8K-12K,深圳-南山区,五险一金带薪年假节日福利绩效奖金餐补
web前端开发,民营,100-499人,2019-09-20 13:56:03,本科,软件/互联网开发/系统集成,3-5年,北京金色华勤数据服务有限公司,15K-25K,北京,五险一金带薪年假节日福利弹性工作上市公司
web前端开发工程师,民营,20人以下,2019-09-20 00:50:45,本科,软件/互联网开发/系统集成,3-5年,武汉观铭鑫科技有限公司,7K-11K,武汉,五险一金周末双休创业公司节日福利弹性工作
web前端,股份制企业,500-999人,2019-09-20 10:44:56,本科,软件/互联网开发/系统集成,3-5年,北京掌通未来科技有限公司,20K-30K,北京,五险一金加班补助交通补助弹性工作带薪年假
web前端讲师,民营,1000-9999人,2019-09-20 14:09:04,大专,软件/互联网开发/系统集成,3-5年,北京八维研修学院,20K-30K,北京-海淀区,五险一金绩效奖金餐补带薪年假节日福利
web前端（朝九晚六+双休）,民营,100-499人,2019-09-20 14:43:02,本科,软件/互联网开发/系统集成,1-3年,陕西巨丰投资资讯有限责任公司广州分公司,3K-5K,广州,五险一金全勤奖带薪年假节日福利高温补贴
WEB前端工程师,上市公司,500-999人,2019-09-20 10:33:48,本科,软件/互联网开发/系统集成,3-5年,上海屹通信息科技发展有限公司,10K-15K,北京,五险一金年底双薪包住餐补带薪年假
web前端开发,上市公司,500-999人,2019-09-20 10:33:48,本科,软件/互联网开发/系统集成,1-3年,上海屹通信息科技发展有限公司,10K-15K,北京-西城区,五险一金餐补带薪年假节日福利周末双休
Web前端开发、美工,民营,20人以下,2019-09-20 00:50:30,大专,软件/互联网开发/系统集成,3-5年,海南晓晨科技有限公司,5K-8K,海口,
web前端工程师,民营,100-499人,2019-09-20 13:45:43,本科,软件/互联网开发/系统集成,1-3年,深圳市联影医疗数据服务有限公司,7K-14K,深圳-南山区,五险一金绩效奖金股票期权全勤奖通讯补助
web前端开发工程师,民营,20-99人,2019-09-20 00:52:42,大专,软件/互联网开发/系统集成,1-3年,无锡挚达出行科技有限公司,4K-6K,无锡,每年多次调薪周末双休五险一金年底双薪加班补助
web前端软件开发工程师实习生,民营,100-499人,2019-09-20 14:03:20,学历不限,软件/互联网开发/系统集成,不限,深圳市宝格创芯科技有限公司,4K-6K,深圳,
web前端游戏开发,民营,100-499人,2019-09-20 14:03:05,大专,软件/互联网开发/系统集成,3-5年,厦门乘三乘五网络科技有限公司,15K-30K,上海,五险一金弹性工作绩效奖金员工旅游节日福利
web前端,合资,20人以下,2019-09-20 14:20:04,大专,软件/互联网开发/系统集成,3-5年,杭州茵沃环保科技有限公司,10K-15K,杭州,五险一金绩效奖金全勤奖公司重点项目
web前端工程师,股份制企业,100-499人,2019-09-20 14:23:12,本科,软件/互联网开发/系统集成,1-3年,山西三友和智慧信息技术股份有限公司,4K-6K,太原,五险一金全勤奖包住餐补定期体检
web前端,民营,20-99人,2019-09-20 14:06:29,大专,软件/互联网开发/系统集成,3-5年,山东沐华医疗科技有限公司,8K-12K,青岛-城阳区,五险一金加班补助餐补通讯补助带薪年假
Web前端开发工程师,民营,20-99人,2019-09-20 14:12:05,本科,软件/互联网开发/系统集成,1-3年,北京享控智能科技有限公司,8K-12K,重庆,五险一金餐补定期体检员工旅游节日福利
web前端工程师,民营,20-99人,2019-09-20 14:16:04,本科,软件/互联网开发/系统集成,3-5年,北京拓盛电子科技有限公司,10K-15K,北京,周末双休五险一金绩效奖金餐补弹性工作
web前端开发实习生（包住/双休）,民营,不限,2019-09-20 14:05:10,大专,人力资源,不限,深圳市斯槟锐森科技有限公司,5K-7K,深圳,五险一金周末双休包吃包住年底双薪
web前端,民营,100-499人,2019-09-20 14:05:40,大专,软件/互联网开发/系统集成,3-5年,吉林省珍实惠贸易有限公司,5K-8K,长春,五险一金绩效奖金全勤奖定期体检交通补助
web前端游戏开发,民营,100-499人,2019-09-20 14:26:36,大专,软件/互联网开发/系统集成,3-5年,厦门乘三乘五网络科技有限公司,15K-30K,深圳,五险一金弹性工作绩效奖金员工旅游节日福利
web前端工程师,民营,100-499人,2019-09-20 14:27:04,学历不限,软件/互联网开发/系统集成,1-3年,吉林省学梯教育科技有限公司,4K-6K,长春-朝阳区,绩效奖金包吃弹性工作补充医疗保险节日福利
web前端工程师-电商平台系统,民营,100-499人,2019-09-20 14:03:28,大专,软件/互联网开发/系统集成,不限,沈阳辉浩科技有限公司,4K-6K,沈阳,五险一金绩效奖金交通补助节日福利定期体检
诚招web前端开发双休+住宿,民营,100-499人,2019-09-20 14:38:52,学历不限,软件/互联网开发/系统集成,无经验,郑州善撰软件科技有限公司,4K-6K,郑州,周末双休五险一金弹性工作带薪年假员工旅游
web前端小程序开发助理,民营,100-499人,2019-09-20 14:37:32,学历不限,软件/互联网开发/系统集成,无经验,郑州善撰软件科技有限公司,4K-6K,郑州,周末双休五险一金弹性工作带薪年假员工旅游
Web前端工程师,民营,20-99人,2019-09-20 00:51:56,大专,软件/互联网开发/系统集成,1-3年,常州洪荒浩宇信息技术有限公司,6K-8K,常州-武进区,五险一金节日福利交通补助餐补通讯补助
web前端助理,民营,500-999人,2019-09-20 14:32:45,学历不限,软件/互联网开发/系统集成,不限,河南六凹六物联网科技有限公司,4K-6K,郑州,五险一金包住全勤奖年底双薪绩效奖金
Web前端工程师,民营,100-499人,2019-09-20 13:49:02,大专,软件/互联网开发/系统集成,1-3年,广州领客信息科技股份有限公司,6K-8K,广州-天河区,节日福利五险一金绩效奖金全勤奖员工旅游
web前端开发工程师,民营,20-99人,2019-09-20 14:13:03,大专,软件/互联网开发/系统集成,3-5年,北京爱惠员软件科技有限公司,5K-10K,石家庄,绩效奖金节日福利年底双薪年终分红每年多次调薪
Web前端开发工程师（包括实习生）,不限,100-499人,2019-09-20 11:34:20,大专,软件/互联网开发/系统集成,不限,上海煜喜环保科技有限公司,6K-8K,上海-静安区,周末双休五险一金年底双薪绩效奖金全勤奖
web前端工程师【五险一金】,民营,100-499人,2019-09-20 14:06:08,大专,软件/互联网开发/系统集成,1年以下,河南周游网络技术有限公司,5K-7K,郑州,创业公司五险一金加班补助不加班
拿高薪/web前端开发实习/升值快五险,民营,20-99人,2019-09-20 14:35:03,高中,软件/互联网开发/系统集成,无经验,郑州航艺广告有限公司,4K-6K,郑州,五险一金年底双薪绩效奖金餐补带薪年假
移动web前端开发工程师,民营,20-99人,2019-09-20 00:52:27,本科,软件/互联网开发/系统集成,1-3年,上海喜带实业有限公司,10K-20K,上海,五险一金创业公司餐补免费停车
Web前端开发工程师-sz,民营,100-499人,2019-09-20 00:51:26,本科,软件/互联网开发/系统集成,3-5年,迪原创新(北京)科技有限公司南京分公司,15K-26K,深圳-南山区,五险一金补充医疗保险弹性工作带薪年假定期体检
web前端开发工程师,民营,500-999人,2019-09-20 11:36:02,学历不限,软件/互联网开发/系统集成,不限,上海安秉信息技术有限公司,6K-8K,上海,五险一金全勤奖通讯补助采暖补贴包吃
web前端工程师,其它,100-499人,2019-09-20 14:41:31,本科,软件/互联网开发/系统集成,1-3年,北京人和易行科技有限公司,12K-19K,北京-朝阳区,节日福利员工旅游绩效奖金定期团建提供食宿
