职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
泸水中成村镇银行综合柜员岗,银行,1000-9999人,2019-07-04 17:44:01,本科,银行,1-3年,成都农村商业银行股份有限公司,4K-6K,怒江,五险一金定期体检带薪年假
银行柜员,民营,20-99人,2019-08-28 09:10:29,本科,银行,不限,黑龙江省元盛货币兑换有限公司,2K-4K,哈尔滨,五险一金
银行后台柜员（非客服）,民营,500-999人,2019-09-11 16:33:12,大专,银行,不限,苏州市银雁数据处理有限公司,4K-6K,南京-秦淮区,五险一金绩效奖金带薪年假加班补助全勤奖
银行柜员,外商独资,20-99人,2019-09-13 16:50:32,本科,银行,1-3年,企业银行(中国)有限公司深圳分行,6K-8K,深圳,14薪住房补贴五险一金餐补员工旅游
银行线上柜员+纯内勤182,民营,20-99人,2019-09-19 18:02:53,大专,客服/售前/售后技术支持,不限,合肥科东易旭信息科技有限公司,3.5K-5.5K,绵阳,绩效奖金全勤奖带薪年假节日福利五险一金
银行柜员客服+朝九晚六,民营,100-499人,2019-09-01 09:53:24,大专,客服/售前/售后技术支持,不限,潍坊至诚电子商务有限公司,4K-6K,潍坊-坊子区,五险一金带薪年假餐补加班补助全勤奖
银行柜员,银行,20-99人,2019-09-11 11:16:26,大专,银行,不限,曲阜中银富登村镇银行有限公司,4K-8K,济宁-曲阜市,五险一金绩效奖金交通补助餐补通讯补助
银行柜员,民营,不限,2019-08-28 08:49:49,大专,银行,不限,中国平安人寿保险股份有限公司重庆市沙坪坝支公司沙正街营业部给力部,6K-8K,重庆-沙坪坝区,全勤奖绩效奖金节日福利不加班无试用期
峨眉山中成村镇银行-综合柜员岗,银行,1000-9999人,2019-07-04 16:28:54,本科,银行,1-3年,成都农村商业银行股份有限公司,4K-6K,乐山,五险一金定期体检带薪年假交通补助
银行柜员 双休,民营,1000-9999人,2019-09-19 22:14:01,大专,银行,不限,中国平安人寿保险股份有限公司重庆市江北支公司五里店营业部寿险金融部,6K-8K,重庆,五险一金年底双薪绩效奖金定期团建出国游
