职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
直播运营专员,民营,20-99人,2019-09-20 00:52:15,大专,影视/媒体/出版/印刷,1-3年,长沙紫漩网络科技有限公司,4K-8K,长沙,五险一金绩效奖金周末双休餐补节日福利
运营专员,民营,20-99人,2019-09-20 00:51:56,大专,销售管理,不限,山东海顺机械有限公司,4K-6K,济南-槐荫区,绩效奖金节日福利五险一金包住交通补助
商城运营专员,民营,20-99人,2019-09-20 00:51:55,大专,互联网产品/运营管理,1-3年,快易购(北京)科技有限公司,5K-8K,北京,五险一金绩效奖金带薪年假弹性工作
电商运营专员（ebay运营）,不限,20-99人,2019-09-20 00:51:28,学历不限,其他,不限,宁波布兰德电子商务有限公司,6K-8K,宁波-鄞州区,
淘宝运营专员运营助理,其它,20-99人,2019-09-20 10:39:08,学历不限,互联网产品/运营管理,不限,西安凡尚利宏电子商务有限公司,6K-8K,西安,年底双薪绩效奖金年终分红全勤奖餐补
阿里巴巴国际站运营专员,民营,20-99人,2019-09-20 00:51:56,大专,互联网产品/运营管理,3-5年,中山市悠悠电子科技有限公司,8K-10K,中山,包吃年终分红
淘宝运营专员,民营,20-99人,2019-09-20 00:50:27,大专,互联网产品/运营管理,1-3年,杭州卡熙科技有限公司,8K-10K,杭州,创业公司五险一金年底双薪绩效奖金年终分红
网站内容运营专员,民营,20-99人,2019-09-20 00:53:01,大专,互联网产品/运营管理,1-3年,赛莎梦国际贸易成都有限责任公司,5K-8K,成都,节日福利员工旅游定期团建加班补助全勤奖
亚马逊运营专员（可接受优秀应届生）,民营,20-99人,2019-09-20 00:51:20,大专,销售业务,1-3年,东莞市车品逸电子科技有限公司,8K-16K,深圳-龙岗区,弹性工作节日福利五险一金餐补房补
电商运营专员/天猫淘宝运营,民营,100-499人,2019-09-20 14:27:16,大专,互联网产品/运营管理,1-3年,常州汇乐体育用品有限公司,5K-10K,常州,五险一金绩效奖金带薪年假弹性工作
商品运营专员,民营,20-99人,2019-09-20 00:50:32,大专,互联网产品/运营管理,不限,陕西极速体育用品有限公司,3.5K-6K,西安,餐补全勤奖绩效奖金
运营专员,民营,20-99人,2019-09-20 00:51:09,本科,互联网产品/运营管理,1-3年,东莞市拍档电脑科技有限公司,6K-8K,东莞,绩效奖金加班补助餐补房补通讯补助
新媒体运营专员（渠道招新方向）,民营,20-99人,2019-09-20 00:51:05,大专,互联网产品/运营管理,1-3年,上海易推信息科技有限公司,8K-10K,上海,五险一金年底双薪绩效奖金通讯补助餐补
Amazon 亚马逊运营专员,股份制企业,20人以下,2019-09-20 00:51:58,大专,销售业务,1-3年,深圳市金宇顺科技有限公司,6K-12K,深圳,五险一金带薪年假弹性工作节日福利全勤奖
电商运营专员,民营,20-99人,2019-09-20 00:50:51,中专,互联网产品/运营管理,不限,长沙湘野户外运动有限公司,2K-4K,长沙,绩效奖金餐补五险一金员工旅游节日福利
跨境电商运营专员,民营,20人以下,2019-09-20 14:06:14,大专,互联网产品/运营管理,1-3年,大连昭宁电子商务有限责任公司,4K-8K,莆田-荔城区,全勤奖交通补助每年多次调薪创业公司加班补助
亚马逊运营专员,民营,20-99人,2019-09-20 00:51:20,大专,互联网产品/运营管理,不限,东莞市车品逸电子科技有限公司,6K-12K,深圳-龙岗区,节日福利五险一金餐补房补交通补助
Amazon亚马逊运营专员/ 外贸B2C销售业务员/ 外贸业务员,民营,20-99人,2019-09-20 00:50:46,大专,互联网产品/运营管理,1年以下,深圳吉星世纪科技有限公司,6K-12K,深圳,全勤奖绩效奖金五险一金包住员工旅游
运营助理/审核专员（社保 年终奖）,股份制企业,500-999人,2019-09-20 00:51:25,大专,互联网产品/运营管理,不限,河南省炽天使网络技术有限公司,2K-4K,郑州,五险一金每年多次调薪员工旅游带薪年假年终分红
淘宝运营/直通车专员/网店助理/电商推广,民营,20-99人,2019-09-20 00:52:06,学历不限,互联网产品/运营管理,不限,山东雅麦电子商务有限公司,4K-6K,青岛-崂山区,五险一金绩效奖金带薪年假节日福利定期团建
