职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
理财顾问,股份制企业,20人以下,2019-09-20 00:50:55,本科,证券/期货/投资管理/服务,1-3年,兴业证券股份有限公司福州通湖路证券营业部,4K-6K,福州,14薪五险一金绩效奖金年终分红餐补
理财经理,国企,10000人以上,2019-09-20 00:51:28,本科,证券/期货/投资管理/服务,1-3年,中国银河证券股份有限公司成都成飞大道证券营业部,8K-10K,成都,绩效奖金年底双薪交通补助餐补通讯补助
应届毕业生,国企,1000-9999人,2019-09-20 00:52:12,本科,销售业务,不限,长城证券股份有限公司唐山北新西道证券营业部,2K-4K,唐山-路北区,周末双休员工旅游节日福利绩效奖金弹性工作
理财顾问,国企,1000-9999人,2019-09-20 00:52:12,本科,证券/期货/投资管理/服务,无经验,长城证券股份有限公司唐山北新西道证券营业部,6K-8K,衡水,周末双休五险一金定期体检员工旅游节日福利
投资顾问,民营,1000-9999人,2019-09-20 00:52:48,本科,证券/期货/投资管理/服务,1-3年,中山证券有限责任公司武汉新华路证券营业部,6K-10K,武汉,周末双休五险一金绩效奖金餐补通讯补助
客户经理（青岛、即墨、城阳、李沧）,国企,10000人以上,2019-09-20 00:50:10,大专,证券/期货/投资管理/服务,不限,招商证券股份有限公司青岛即墨市蓝鳌路证券营业部,6K-8K,青岛-即墨区,五险一金绩效奖金带薪年假
机构业务经理,民营,500-999人,2019-09-20 00:52:38,本科,证券/期货/投资管理/服务,1-3年,德邦证券股份有限公司南京庐山路证券营业部,6K-8K,南京,五险一金绩效奖金餐补带薪年假定期体检
团队管理岗（业务总监）,国企,500-999人,2019-09-20 10:56:15,本科,银行,3-5年,中国银河证券股份有限公司北京分公司,8K-12K,北京,五险一金绩效奖金交通补助通讯补助定期体检
客户经理,国企,20人以下,2019-09-20 00:51:24,本科,证券/期货/投资管理/服务,不限,长江证券股份有限公司无锡建筑西路证券营业部,8K-15K,无锡,五险一金绩效奖金交通补助餐补通讯补助
营销总监,国企,10000人以上,2019-09-20 00:51:28,本科,证券/期货/投资管理/服务,3-5年,中国银河证券股份有限公司成都成飞大道证券营业部,8K-10K,成都,五险一金绩效奖金交通补助通讯补助采暖补贴
业务发展岗,股份制企业,20-99人,2019-09-20 00:52:07,本科,证券/期货/投资管理/服务,3-5年,兴业证券股份有限公司新疆分公司,4K-6K,乌鲁木齐,五险一金绩效奖金餐补带薪年假定期体检
机构业务经理,股份制企业,10000人以上,2019-09-20 10:18:24,本科,证券/期货/投资管理/服务,3-5年,国信证券股份有限公司顺德分公司,6K-8K,佛山-顺德区,午餐补贴餐补定期体检节日福利全额公积金
投顾助理,国企,1000-9999人,2019-09-20 00:52:12,本科,销售业务,不限,长城证券股份有限公司唐山北新西道证券营业部,2K-4K,唐山-路北区,周末双休员工旅游节日福利绩效奖金弹性工作
客户经理,国企,1000-9999人,2019-09-20 00:50:10,大专,证券/期货/投资管理/服务,不限,中国银河证券股份有限公司河南分公司,4K-6K,郑州,五险一金绩效奖金交通补助通讯补助带薪年假
管理储偹岗,国企,20-99人,2019-09-20 00:51:18,本科,证券/期货/投资管理/服务,不限,华西证券股份有限公司遂宁遂州南路证券营业部,6K-10K,遂宁,五险一金绩效奖金带薪年假定期体检节日福利
投教基地人员,国企,100-499人,2019-09-20 00:51:39,本科,证券/期货/投资管理/服务,不限,国信证券股份有限公司浙江分公司,6K-8K,杭州,五险一金绩效奖金交通补助通讯补助带薪年假
营销总监,国企,1000-9999人,2019-09-20 00:52:12,本科,市场,1-3年,长城证券股份有限公司唐山北新西道证券营业部,8K-10K,唐山,五险一金交通补助带薪年假节日福利员工旅游
投顾助理,国企,1000-9999人,2019-09-20 00:52:12,本科,销售业务,不限,长城证券股份有限公司唐山北新西道证券营业部,2K-4K,衡水,周末双休员工旅游节日福利绩效奖金弹性工作
招聘专员（上海）,民营,100-499人,2019-09-20 00:52:47,大专,人力资源,1-3年,上海新兰德证券投资咨询顾问有限公司安徽分公司,4K-6K,上海-杨浦区,全勤奖餐补员工旅游节日福利绩效奖金
财富顾问,民营,500-999人,2019-09-20 00:52:38,本科,销售管理,无经验,德邦证券股份有限公司南京庐山路证券营业部,5K-10K,南京,五险一金绩效奖金餐补带薪年假定期体检
柜员,国企,20人以下,2019-09-20 00:50:29,本科,证券/期货/投资管理/服务,1-3年,华福证券有限责任公司佛山分公司,4K-6K,佛山,五险一金周末双休节日福利不加班大牛带队
高级理财顾问,上市公司,1000-9999人,2019-09-20 00:51:34,本科,证券/期货/投资管理/服务,3-5年,兴业证券股份有限公司厦门海沧大道证券营业部,7.5K-12.5K,厦门-海沧区,五险一金绩效奖金带薪年假定期体检餐补
高底薪电话销售+五险一金（公司提供资源）,民营,100-499人,2019-09-20 09:59:51,大专,销售业务,无经验,深圳市启富证券投资顾问有限公司,15K-20K,深圳-福田区,节日福利五险一金年底双薪带薪年假员工旅游
客户经理应届生,国企,1000-9999人,2019-09-20 00:52:21,本科,证券/期货/投资管理/服务,不限,东吴证券股份有限公司泰州海陵南路证券营业部,4K-6K,泰州,五险一金绩效奖金年终分红定期体检带薪年假
业务支持岗,国企,20人以下,2019-09-20 00:50:29,硕士,证券/期货/投资管理/服务,1-3年,华福证券有限责任公司佛山分公司,7K-9K,佛山-禅城区,五险一金绩效奖金年终分红餐补带薪年假
渠道经理,国企,1000-9999人,2019-09-20 00:52:17,本科,证券/期货/投资管理/服务,不限,华西证券股份有限公司福州分公司,4.3K-8.6K,泉州-丰泽区,五险一金绩效奖金餐补带薪年假定期体检
理财经理,民营,1000-9999人,2019-09-20 00:52:37,大专,证券/期货/投资管理/服务,无经验,联储证券有限责任公司东莞虎门证券营业部,5K-8K,东莞,五险一金补充医疗保险绩效奖金带薪年假项目奖金
火热网络销售无责3K起双休,民营,1000-9999人,2019-09-20 00:50:54,大专,销售业务,不限,盈亚证券投资咨询有限公司,8K-10K,长沙,五险一金绩效奖金全勤奖包吃定期体检
高级投资经理,国企,1000-9999人,2019-09-20 15:01:03,本科,证券/期货/投资管理/服务,3-5年,中国中投证券有限责任公司深圳深南中路证券营业部,8K-10K,深圳,五险一金绩效奖金带薪年假补充医疗保险定期体检
投行业务实习生,国企,1000-9999人,2019-09-20 00:50:10,硕士,实习生/培训生/储备干部,无经验,开源证券股份有限公司,1K以下,南京-建邺区,周末双休
客户经理,上市公司,1000-9999人,2019-09-20 00:50:01,大专,销售业务,不限,招商证券股份有限公司长沙营业部,10K-15K,长沙,五险一金绩效奖金加班补助交通补助带薪年假
投资经理,国企,1000-9999人,2019-09-20 00:52:27,本科,证券/期货/投资管理/服务,3-5年,中国中投证券有限责任公司中山石岐宏基路证券营业部,5K-10K,中山,周末双休五险一金绩效奖金年终分红带薪年假
首席投资顾问,其它,500-999人,2019-09-20 00:50:48,本科,证券/期货/投资管理/服务,3-5年,东莞证券股份有限公司厦门分公司,20K-30K,厦门,周末双休五险一金绩效奖金年终分红定期体检
金融销售代表4K+高提成+五险一金,民营,100-499人,2019-09-20 00:50:47,中专,销售业务,1年以下,深圳市启富证券投资顾问有限公司,10K-15K,深圳-福田区,节日福利五险一金员工旅游绩效奖金年底双薪
客户经理,股份制企业,1000-9999人,2019-09-20 00:51:31,学历不限,证券/期货/投资管理/服务,不限,方正证券股份有限公司,6K-8K,天津,绩效奖金餐补带薪年假弹性工作通讯补助
投资顾问,股份制企业,1000-9999人,2019-09-20 00:50:32,本科,银行,3-5年,民生证券股份有限公司,6K-8K,南京,五险一金绩效奖金餐补通讯补助带薪年假
理财总监,国企,10000人以上,2019-09-20 00:51:28,本科,证券/期货/投资管理/服务,1-3年,中国银河证券股份有限公司成都成飞大道证券营业部,8K-10K,成都,绩效奖金年底双薪交通补助餐补通讯补助
客户服务经理,上市公司,20-99人,2019-09-20 00:52:07,本科,银行,1-3年,华西证券股份有限公司呼和浩特乌兰察布西街证券营业部,6K-8K,呼和浩特-新城区,绩效奖金五险一金带薪年假节日福利周末双休
理财顾问,国企,1000-9999人,2019-09-20 00:52:08,本科,证券/期货/投资管理/服务,不限,浙商证券股份有限公司山东分公司,6K-8K,济南,五险一金绩效奖金全勤奖餐补带薪年假
渠道经理,上市公司,20-99人,2019-09-20 00:52:07,本科,证券/期货/投资管理/服务,1-3年,华西证券股份有限公司呼和浩特乌兰察布西街证券营业部,6K-8K,呼和浩特-新城区,绩效奖金五险一金带薪年假节日福利
财富管理中心经理,国企,1000-9999人,2019-09-20 00:52:08,本科,证券/期货/投资管理/服务,3-5年,浙商证券股份有限公司山东分公司,10K-15K,济南,五险一金绩效奖金年终分红全勤奖餐补
客户经理/销售（青岛分公司）,股份制企业,1000-9999人,2019-09-20 00:51:24,本科,证券/期货/投资管理/服务,不限,渤海证券（天津）,6K-10K,青岛-市南区,五险一金周末双休绩效奖金节日福利高温补贴
分支机构合规专员,国企,1000-9999人,2019-09-20 00:51:28,本科,证券/期货/投资管理/服务,3-5年,开源证券股份有限公司,4K-6K,西安-雁塔区,周末双休
投资顾问,股份制企业,1000-9999人,2019-09-20 00:52:50,本科,证券/期货/投资管理/服务,3-5年,方正证券股份有限公司,8K-10K,天津,五险一金绩效奖金餐补通讯补助带薪年假
投顾老师助理,民营,1000-9999人,2019-09-20 00:51:35,本科,证券/期货/投资管理/服务,3-5年,天风证券股份有限公司武汉八一路证券营业部,5K-10K,武汉,五险一金周末双休绩效奖金节日福利带薪年假
产品金融部-业务总监,股份制企业,10000人以上,2019-09-20 00:50:49,本科,证券/期货/投资管理/服务,5-10年,国泰君安证券股份有限公司广东分公司,20K-30K,广州-天河区,五险一金绩效奖金周末双休节日福利带薪年假
客户经理（义乌营业部）,国企,1000-9999人,2019-09-20 00:51:34,学历不限,证券/期货/投资管理/服务,不限,中原证券股份有限公司杭州新塘路证券营业部,4K-6K,金华-义乌市,五险一金绩效奖金定期体检
金融市场部-业务经理,股份制企业,10000人以上,2019-09-20 00:50:49,本科,证券/期货/投资管理/服务,1-3年,国泰君安证券股份有限公司广东分公司,15K-20K,广州-天河区,五险一金绩效奖金周末双休节日福利带薪年假
