雪佛兰 迈锐宝 2013款 2.4L 自动豪华版,2013年,12.0万公里,店内直卖,7.52万,21.70万
日产 轩逸 2012款 经典 1.6XL 手动豪华版,2013年,8.4万公里,到店服务,4.31万,12.00万
标致408 2013款 2.0L 自动舒适版,2014年,2.6万公里,到店服务,5.96万,15.60万
北汽威旺S50 2016款 1.5T 手动乐动旗舰版,2018年,0.9万公里,店内直卖,5.80万,13.10万
现代 朗动 2012款 1.6L 手动领先型,2013年,8.3万公里,到店服务,4.76万,12.60万
长安 奔奔 2014款 1.4L IMT尊贵型,2014年,1.9万公里,店内直卖,2.68万,6.20万
路虎 神行者2 2012款 2.0T Si4 HSE汽油版(进口),2013年,10.2万公里,到店服务,19.44万,64.90万
马自达CX-7 2014款 2.5L 2WD 尊贵版,2016年,3.8万公里,到店服务,13.03万,26.50万
丰田 威驰 2014款 1.5L 自动智臻版,2014年,3.4万公里,到店服务,5.13万,9.50万
雪佛兰 科鲁兹 2012款 1.6L SE MT,2012年,5.0万公里,到店服务,4.08万,13.00万
大众 2016款 途安L 280TSI 手动风尚版,2017年,2.3万公里,到店服务,10.54万,16.90万
奥迪Q5 2013款 40 TFSI 进取型,2014年,7.8万公里,到店服务,21.57万,41.60万
英菲尼迪ESQ 2014款 1.6L 率性版(进口),2018年,1.1万公里,到店服务,12.60万,19.60万
宝马X1 2015款 sDrive18i 时尚晋级版,2015年,6.2万公里,到店服务,15.99万,30.90万
别克 君威 2015款 2.0L 领先时尚型,2014年,5.8万公里,到店服务,8.58万,19.40万
福特 翼虎 2013款 1.6L GTDi 四驱精英型,2013年,13.6万公里,到店服务,8.52万,26.00万
雪佛兰 科鲁兹 2017款 1.4T 两厢 双离合领锋版,2017年,1.1万公里,到店服务,9.40万,18.40万
宝马5系 2014款 520Li 典雅型,2016年,6.5万公里,到店服务,27.00万,
长安 逸动 2014款 1.6L 手动豪华型,2014年,1.5万公里,到店服务,4.06万,8.70万
长安CS95 2017款 2.0T 两驱智拓版,2017年,3.0万公里,到店服务,12.44万,19.80万
凯迪拉克XTS 2015款 28T 舒适型,2015年,6.1万公里,到店服务,16.55万,
斯柯达 昊锐 2012款 1.8TSI 自动优雅版,2012年,11.1万公里,到店服务,6.44万,
雪铁龙 世嘉 2012款 三厢 1.6L 手动品享型,2013年,3.9万公里,到店服务,4.02万,12.90万
比亚迪F3 2012款 节能版 1.5L 手动舒适型,2016年,1.8万公里,到店服务,2.55万,4.80万
福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,2013年,7.9万公里,到店服务,7.21万,23.60万
比亚迪 宋新能源 2017款 宋DM 1.5TID 全时四驱尊贵型,2018年,1.5万公里,到店服务,14.51万,25.20万
本田CR-V 2013款 2.0L 两驱经典版,2014年,7.0万公里,到店服务,11.53万,
大众 速腾 2012款 1.4TSI 自动豪华型,2012年,11.8万公里,到店服务,7.48万,18.20万
本田 雅阁 2011款 2.4L LX,2011年,9.9万公里,到店服务,9.44万,23.90万
比亚迪 2017款 2.0T 唐100,2018年,0.2万公里,到店服务,19.99万,32.60万
别克 英朗 2011款 GT 1.8L 自动时尚版真皮款,2011年,14.0万公里,到店服务,4.62万,17.90万
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,2012年,5.9万公里,到店服务,9.60万,28.60万
大众CC 2012款 3.0FSI V6,2014年,11.5万公里,到店服务,14.37万,
本田 缤智 2015款 1.5L 手动两驱舒适型,2016年,1.6万公里,到店服务,8.90万,
哈弗H7 2016款 蓝标H7 2.0T 自动豪华型,2016年,4.8万公里,到店服务,9.70万,17.30万
现代 索纳塔八 2015款 经典 2.0L 自动豪华版,2016年,3.3万公里,到店服务,10.05万,
本田 竞瑞 2017款 1.5L CVT舒适版,2016年,8.1万公里,到店服务,6.96万,11.90万
别克 君越 2011款 2.4L SIDI豪雅版,2011年,14.7万公里,到店服务,8.20万,27.70万
启辰D50 2013款 1.6L 手动时尚版,2013年,3.3万公里,到店服务,2.87万,7.50万
荣威550 2010款 550 1.8L 自动世博风尚版,2011年,6.5万公里,到店服务,2.80万,
雪铁龙 世嘉 2013款 三厢 1.6L 自动品尚型,2015年,2.5万公里,到店服务,5.86万,12.80万
众泰 大迈X5 2016款 1.5T 手动豪华7座型 国IV,2019年,100公里,到店服务,5.10万,
大众 速腾 2011款 1.4TSI 自动豪华型,2011年,3.1万公里,到店服务,5.23万,18.40万
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,2014年,5.9万公里,到店服务,10.93万,23.60万
别克 君威 2013款 1.6T 自动精英运动版,2013年,7.1万公里,到店服务,7.80万,22.80万
大众 速腾 2014款 改款 1.6L 手动舒适型,2015年,3.8万公里,到店服务,7.85万,15.10万
荣威350 2013款 350S 1.5L 手动迅驰版,2013年,6.3万公里,到店服务,2.75万,9.70万
